n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,569.75,1.0175487884329144,1.2455358985078888,1.017948941324665,25.29,64.0
2,565.75,1.0175487884329144,1.243935286940886,1.0175487884329144,25.29,64.0
3,572.0,1.053582556335067,1.2824700104164806,1.053582556335067,27.72,64.0
4,557.0,1.053582556335067,1.2764677170402197,1.053582556335067,27.72,64.0
5,548.5,1.0489807980799335,1.2684646592052053,1.0489807980799335,26.31,64.0
6,419.5,1.0489807980799335,1.2168449361693618,1.0489807980799335,26.31,65.0
7,327.0,1.0806128841728282,1.2114628797753149,1.0806128841728282,25.32,66.0
8,368.5,1.0806128841728282,1.2280692247829699,1.0806128841728282,25.32,65.5
9,433.0,0.9375182100827697,1.1107844122108328,0.9375182100827697,24.49,65.0
10,168.75,0.9375182100827697,1.0050440105657041,0.9375182100827697,24.49,65.5
11,0.0,0.7415233237032614,0.7415233237032614,0.7415233237032614,23.01,66.0
12,0.0,0.7415233237032614,0.7415233237032614,0.7415233237032614,23.01,66.0
13,0.0,0.6515289383485277,0.6515289383485277,0.6515289383485277,22.73,66.0
14,0.0,0.6515289383485277,0.6515289383485277,0.6515289383485277,22.73,67.0
15,0.0,0.6367232813537509,0.6367232813537509,0.6367232813537509,20.6,68.0
16,0.0,0.6367232813537509,0.6367232813537509,0.6367232813537509,20.6,66.5
17,0.0,0.6122739396677817,0.6122739396677817,0.6122739396677817,24.25,65.0
18,0.0,0.6122739396677817,0.6122739396677817,0.6122739396677817,24.25,65.0
19,0.0,0.6202169745690336,0.6202169745690336,0.6202169745690336,23.1,65.0
20,0.0,0.6202169745690336,0.6202169745690336,0.6202169745690336,23.1,64.5
21,0.0,0.6155952086693127,0.6155952086693127,0.6155952086693127,22.02,64.0
22,0.0,0.6155952086693127,0.6155952086693127,0.6155952086693127,22.02,64.0
23,0.0,0.6341623028465463,0.6341623028465463,0.6341623028465463,25.41,64.0
24,0.0,0.6341623028465463,0.6341623028465463,0.6341623028465463,25.41,64.5
25,0.0,0.7574093935057691,0.7574093935057691,0.7574093935057691,32.11,65.0
26,724.25,0.7574093935057691,1.0472201253562305,1.0472201253562305,32.11,71.5
27,1495.75,0.9524239053004842,1.5509525931366286,1.5509525931366286,33.11,78.0
28,1470.75,0.9524239053004842,1.5409487708428604,1.5409487708428604,33.11,89.5
29,1429.0,1.1121849473319605,1.6840034296437438,1.6840034296437438,33.63,101.0
30,1243.0,1.1121849473319605,1.6095749917781095,1.658593721017573,33.63,107.5
31,127.25,1.1749089131138863,1.2258283685891658,1.6884051114530017,35.31,114.0
32,97.75,1.1749089131138863,1.2140238582825194,1.7167159285443654,35.31,116.5
33,16.0,1.169406810852314,1.1758092571203254,1.7196170370095583,35.31,119.0
34,47.75,1.169406810852314,1.1885141114334108,1.6746998749105395,35.31,117.0
35,147.25,1.1264503979228737,1.1853729112331677,1.593728937264781,35.31,115.0
36,241.0,1.1264503979228737,1.222887244834798,1.5550141449878985,35.31,113.0
37,947.25,1.0260720450272005,1.4051168717380733,1.4156208851465297,35.31,111.0
38,939.75,1.0260720450272005,1.4021157250499428,1.375405519525582,35.31,111.0
39,1001.75,1.0865551546153225,1.4874083139266094,1.4015755186460794,34.74,111.0
40,1367.5,1.0865551546153225,1.6337642340844365,1.3667622170637665,34.74,108.0
41,1615.75,1.0507214631590494,1.6972684980052806,1.2948147271269905,35.31,105.0
42,1498.5,1.0507214631590494,1.6503505714475082,1.269304980277882,35.31,107.5
43,1254.25,1.1016609262789163,1.603552690757261,1.2929340085357621,34.38,110.0
44,1156.25,1.1016609262789163,1.5643377073656901,1.2612218918645173,34.38,111.0
45,541.25,1.1306319956416686,1.3472147483017476,1.2666839788369146,33.26,112.0
