date,n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
2024-02-04,1,0.0,40.2,40.2,40.2,35.3,147.67
2024-02-04,2,0.0,42.6,42.6,42.6,28.985,147.6325
2024-02-04,3,0.0,46.2,46.2,46.2,22.67,147.595
2024-02-04,4,0.0,46.2,46.2,46.2,16.354999999999997,147.5575
2024-02-04,5,0.0,45.6,45.6,45.6,10.04,147.52
2024-02-04,6,0.0,47.4,47.4,47.4,8.337499999999999,148.085
2024-02-04,7,0.0,45.6,45.6,45.6,6.635,148.65
2024-02-04,8,0.0,45.6,45.6,45.6,4.9325,149.215
2024-02-04,9,0.0,46.8,46.8,46.8,3.23,149.78
2024-02-04,10,0.0,47.4,47.4,47.4,2.5925,150.60750000000002
2024-02-04,11,0.0,45.6,45.6,45.6,1.955,151.435
2024-02-04,12,0.0,47.4,47.4,47.4,1.3175,152.2625
2024-02-04,13,0.0,43.8,43.8,43.8,0.68,153.09
2024-02-04,14,0.0,45.6,45.6,45.6,0.51,154.1525
2024-02-04,15,0.0,44.4,44.4,44.4,0.34,155.215
2024-02-04,16,0.0,44.4,44.4,44.4,0.17,156.2775
2024-02-04,17,0.0,44.4,44.4,44.4,0.0,157.34
2024-02-04,18,0.0,43.2,43.2,43.2,0.0,156.325
2024-02-04,19,0.0,41.4,41.4,41.4,0.0,155.31
2024-02-04,20,0.0,43.2,43.2,43.2,0.0,154.29500000000002
2024-02-04,21,0.0,42.6,42.6,42.6,0.0,153.28
2024-02-04,22,0.0,41.4,41.4,41.4,0.0,151.775
2024-02-04,23,0.0,48.0,48.0,48.0,0.0,150.26999999999998
2024-02-04,24,33.0,61.2,94.2,94.2,0.0,148.765
2024-02-04,25,467.44850358621204,74.4,541.848503586212,541.9,0.0,147.26
2024-02-04,26,461.09479957267087,84.0,545.0947995726708,548.75,0.2625,145.5025
2024-02-04,27,446.0575512518315,89.4,535.4575512518315,543.15,0.525,143.745
2024-02-04,28,426.74760956273997,95.4,522.14760956274,532.65,0.7875000000000001,141.98749999999998
2024-02-04,29,407.55166411078375,96.6,504.1516641107837,511.85,1.05,140.23
2024-02-04,30,390.8412729111236,97.8,488.6412729111236,499.3,3.005,138.21249999999998
2024-02-04,31,320.084047715689,101.4,421.48404771568903,472.65,4.96,136.195
2024-02-04,32,280.4267332301416,108.6,389.02673323014164,474.35,6.914999999999999,134.1775
2024-02-04,33,481.7858057177861,111.6,593.3858057177861,807.35,8.87,132.16
2024-02-04,34,449.67239385598054,107.4,557.0723938559805,756.4,9.11,131.085
2024-02-04,35,364.3248210228296,105.0,469.3248210228296,721.0,9.35,130.01
2024-02-04,36,324.0533920666939,108.6,432.65339206669387,686.1,9.59,128.935
2024-02-04,37,251.53730422013862,106.8,358.3373042201386,645.8,9.83,127.86
2024-02-04,38,223.35690093486957,100.2,323.5569009348696,603.45,10.09,127.0825
2024-02-04,39,183.27761452743295,105.0,288.27761452743295,567.0,10.35,126.305
2024-02-04,40,143.7389274780982,108.0,251.7389274780982,539.75,10.61,125.5275
2024-02-04,41,128.46728493308228,111.0,239.46728493308228,490.5,10.87,124.75
2024-02-04,42,109.48670256195746,128.4,237.88670256195746,466.65,11.355,124.8325
2024-02-04,43,82.02394265747431,147.6,229.6239426574743,458.35,11.84,124.91499999999999
2024-02-04,44,73.53890376751079,145.8,219.3389037675108,415.3,12.325,124.9975
2024-02-04,45,47.94646643696441,135.0,182.9464664369644,377.0,12.81,125.08
2024-02-04,46,40.20555536223982,106.8,147.00555536223982,310.3,13.0625,125.5425
2024-02-04,47,29.619733500967797,97.2,126.8197335009678,259.45,13.315,126.005
2024-02-04,48,16.587794242949784,97.2,113.78779424294979,231.95,13.5675,126.4675
2024-02-04,49,13.080396205287954,96.6,109.68039620528795,217.6,13.82,126.93
2024-02-04,50,96.23259222996502,97.2,193.43259222996502,209.95,11.52,127.60000000000001
2024-02-04,51,403.1761953826658,101.4,504.5761953826658,197.65,9.22,128.27
2024-02-04,52,596.4864761726816,97.2,693.6864761726816,176.95,6.920000000000001,128.94
2024-02-04,53,736.9506379900145,92.4,829.3506379900144,163.9,4.62,129.61
2024-02-04,54,665.92051204735,94.8,760.72051204735,152.55,5.8950000000000005,130.1775
2024-02-04,55,558.3583220040965,119.4,677.7583220040965,166.15,7.17,130.745
2024-02-04,56,529.3898714486616,124.2,653.5898714486616,165.45,8.445,131.3125
2024-02-04,57,371.6709604307972,124.8,496.4709604307972,237.55,9.72,131.88
2024-02-04,58,159.5110915634848,115.8,275.3110915634848,214.8,11.22,132.875
2024-02-04,59,120.62303249564512,122.4,243.0230324956451,213.15,12.72,133.87
2024-02-04,60,82.94321594411221,103.8,186.7432159441122,191.8,14.22,134.865
2024-02-04,61,73.65907485091053,90.0,163.65907485091054,164.25,15.72,135.86
2024-02-04,62,66.44869033079101,87.6,154.048690330791,159.1,16.3975,138.29500000000002
2024-02-04,63,57.02028680169234,75.6,132.62028680169234,138.85,17.075,140.73000000000002
2024-02-04,64,54.09076953273638,73.2,127.29076953273639,128.2,17.7525,143.165
2024-02-04,65,51.36798439559469,70.2,121.56798439559469,122.45,18.43,145.6
2024-02-04,66,49.5,69.0,118.5,118.5,23.549999999999997,148.28
2024-02-04,67,12.122391278415847,67.8,79.92239127841584,117.3,28.67,150.95999999999998
2024-02-04,68,8.036718511998409,63.0,71.0367185119984,107.0,33.79,153.64
2024-02-04,69,3.725148083274405,64.2,67.92514808327441,102.7,38.91,156.32
2024-02-04,70,2.75,62.4,65.15,95.4,40.684999999999995,155.9375
2024-02-04,71,0.0,57.6,57.6,82.35,42.459999999999994,155.555
2024-02-04,72,0.0,57.6,57.6,79.6,44.235,155.17249999999999
2024-02-04,73,0.0,55.8,55.8,72.3,46.01,154.79
2024-02-04,74,0.0,55.8,55.8,69.55,43.55,152.58749999999998
2024-02-04,75,0.5814087505841314,59.4,59.98140875058413,73.15,41.09,150.385
2024-02-04,76,5.5,54.6,60.1,65.6,38.63,148.1825
2024-02-04,77,5.5,52.8,58.3,63.8,36.17,145.98
2024-02-04,78,5.5,54.0,59.5,65.0,34.39,146.475
2024-02-04,79,8.665855865540784,52.8,61.46585586554078,63.8,32.61,146.97
2024-02-04,80,11.0,52.8,63.8,58.3,30.83,147.465
2024-02-04,81,11.0,51.0,62.0,56.5,29.05,147.96
2024-02-04,82,13.75,51.6,65.35,57.1,27.9175,147.9725
2024-02-04,83,13.75,51.6,65.35,57.1,26.785,147.985
2024-02-04,84,18.832155063786807,52.2,71.0321550637868,54.95,25.6525,147.9975
2024-02-04,85,22.34185858324409,49.8,72.14185858324409,52.55,24.52,148.01
2024-02-04,86,28.45489912156158,48.6,77.05489912156159,48.6,24.5,148.89999999999998
2024-02-04,87,36.315508397034236,48.6,84.91550839703424,48.6,24.48,149.79
2024-02-04,88,41.07380292091615,50.4,91.47380292091614,50.4,24.46,150.68
2024-02-04,89,48.062424605259935,46.2,94.26242460525994,46.2,24.44,151.57
2024-02-04,90,5.5,42.6,48.1,42.6,18.4725,151.9275
2024-02-04,91,0.0,46.8,46.8,46.8,12.505,152.285
2024-02-04,92,0.0,45.0,45.0,45.0,6.5375000000000005,152.64249999999998
2024-02-04,93,0.0,46.2,46.2,46.2,0.57,153.0
2024-02-04,94,0.0,47.4,47.4,47.4,0.4275,152.8025
2024-02-04,95,0.0,46.8,46.8,46.8,0.285,152.60500000000002
2024-02-04,96,0.0,43.8,43.8,43.8,0.1425,152.4075
