n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,599.25,1.1046085137059771,1.5092152691083653,1.1052837022840372,27.91,154.0
2,603.75,1.1046085137059771,1.5122536177096348,1.1046085137059771,27.91,151.5
3,62.5,1.2311050938054973,1.2733043799342403,1.2311050938054973,33.49,149.0
4,57.25,1.2311050938054973,1.2697596398994258,1.2311050938054973,33.49,150.5
5,159.5,1.1529182564661622,1.2606108346667144,1.1529182564661622,32.25,152.0
6,149.0,1.1529182564661622,1.2535213545970856,1.1529182564661622,32.25,156.0
7,629.25,1.177731436709863,1.602593849454048,1.177731436709863,26.54,160.0
8,637.75,1.177731436709863,1.608332952367557,1.177731436709863,26.54,158.0
9,557.0,1.0195009934415282,1.3955810314208859,1.0195009934415282,29.55,156.0
10,253.5,1.0195009934415282,1.19066129797971,1.0195009934415282,29.55,156.0
11,0.0,0.6507805109630234,0.6507805109630234,0.6507805109630234,26.11,156.0
12,0.0,0.6507805109630234,0.6507805109630234,0.6507805109630234,26.11,155.5
13,0.0,0.49339405341726333,0.49339405341726333,0.49339405341726333,28.74,155.0
14,0.0,0.49339405341726333,0.49339405341726333,0.49339405341726333,28.74,154.5
15,0.0,0.4487640884075047,0.4487640884075047,0.4487640884075047,25.41,154.0
16,0.0,0.4487640884075047,0.4487640884075047,0.4487640884075047,25.41,157.5
17,0.0,0.36676243560213134,0.36676243560213134,0.36676243560213134,29.3,161.0
18,0.0,0.36676243560213134,0.36676243560213134,0.36676243560213134,29.3,165.0
19,0.0,0.33813443989239134,0.33813443989239134,0.33813443989239134,26.43,169.0
20,0.0,0.33813443989239134,0.33813443989239134,0.33813443989239134,26.43,168.0
21,0.0,0.36071949782849533,0.36071949782849533,0.36071949782849533,30.22,167.0
22,0.0,0.36071949782849533,0.36071949782849533,0.36071949782849533,30.22,162.0
23,0.0,0.3967745678968933,0.3967745678968933,0.3967745678968933,30.03,157.0
24,0.0,0.3967745678968933,0.3967745678968933,0.3967745678968933,30.03,160.0
25,0.0,0.6178650677826037,0.6178650677826037,0.6178650677826037,35.31,163.0
26,2.75,0.6178650677826037,0.6197218363722684,1.1068703954424777,35.31,171.0
27,0.25,1.0427949993845944,1.0429637965291094,2.0527083150176724,35.31,179.0
28,2.75,1.0427949993845944,1.044651767974259,2.035828600566175,35.31,184.0
29,6.0,1.1869477608003807,1.19099889226874,2.151792238847961,35.31,189.0
30,7.25,1.1869477608003807,1.1918428779913148,2.108917764141158,35.31,195.0
31,8.25,1.3220529952701643,1.3276233010391583,2.188488738065516,35.31,201.0
32,8.25,1.3220529952701643,1.3276233010391583,2.236258329963253,35.31,200.0
33,4.75,1.2730343045030097,1.276241450248794,2.201418599335356,35.31,199.0
34,11.0,1.2730343045030097,1.2804613788616683,2.1256286814481333,35.31,191.5
35,5.25,1.2054141684103186,1.2089589084451329,1.993865630439753,35.31,184.0
36,11.0,1.2054141684103186,1.2128412427689772,1.928541135512459,35.31,181.0
37,9.25,1.141980201501592,1.1482256958486459,1.7992762822428932,35.31,178.0
38,10.5,1.141980201501592,1.1490696815712207,1.7314198301478745,35.31,176.5
39,119.25,1.1825252756140883,1.26304151354773,1.7140674836917353,34.19,175.0
40,120.0,1.1825252756140883,1.263547904981275,1.6553260774005252,34.19,171.5
41,121.75,1.1076468623072466,1.1898510716860382,1.5195118949237785,34.19,168.0
42,128.5,1.1076468623072466,1.1944085945879424,1.4764686230724606,34.19,168.5
43,295.75,1.2242181703092865,1.4239051922704984,1.5469583106219131,32.53,169.0
44,289.75,1.2242181703092865,1.419854060802139,1.493449615810667,32.53,164.0
45,510.25,1.2176013222442994,1.5621162941993574,1.4471654387846615,29.01,159.0
46,533.25,1.2176013222442994,1.577645631494735,1.4176259384945413,29.01,151.5
47,1068.25,1.1625396937035155,1.8838098922159914,1.3456845955022603,28.45,144.0
48,1133.75,1.1625396937035155,1.928034744078914,1.3191834438134096,28.45,139.0
49,744.25,0.7543881982663131,1.2568972974873849,0.8855435795544464,28.83,134.0
50,760.0,0.7543881982663131,1.2675315175918282,0.8625871679004102,28.83,134.0
51,1523.75,0.9728117032686869,2.001630299087442,1.0651437413183766,27.33,134.0
52,1498.25,0.9728117032686869,1.9844129903469148,1.0491080125894543,27.33,131.0
53,1636.25,0.9760526084433744,2.0808299192938664,1.033106043289435,25.67,128.0
54,1686.75,0.9760526084433744,2.1149269424858907,1.014538357392788,25.67,130.0
55,1749.0,1.015078508255236,2.1959833312819805,1.0414108627995717,25.6,132.0
56,1737.0,1.015078508255236,2.187881068345262,1.0351653684525177,25.6,130.0
57,759.75,1.022606860900597,1.5355813830815972,1.0342538638721301,28.83,128.0
58,886.5,1.022606860900597,1.621161535350688,1.029358746681196,28.83,130.0
59,1276.75,1.0044780475796957,1.866525064617658,1.01004835334869,27.88,132.0
60,1390.25,1.0044780475796957,1.9431589682274553,1.009541961915145,27.88,133.0
61,401.5,0.9756137358676356,1.2467019499586807,0.9762889244456955,29.06,134.0
62,398.0,0.9756137358676356,1.2443387899354712,0.9756137358676356,29.06,140.0
63,188.75,1.0604511807008605,1.1878930248096644,1.0604511807008605,32.61,146.0
64,234.75,1.0604511807008605,1.2189516994004193,1.0604511807008605,32.61,147.5
65,41.0,1.0580542612487478,1.0857369929492033,1.2715826490601876,35.31,149.0
66,43.75,1.0580542612487478,1.087593761538868,1.4862926168832322,35.31,152.0
67,22.0,1.1576445765125813,1.1724987252298988,1.578624654932922,35.31,155.0
68,5.5,1.1576445765125813,1.1613581136919109,1.565627274805269,35.31,157.5
69,5.5,1.2179389165333294,1.2216524537126587,1.6090419003745198,35.31,160.0
70,2.75,1.2179389165333294,1.219795685122994,1.5879422573101483,35.31,159.5
71,11.0,1.1633836794260906,1.1708107537847492,1.5163385086068972,35.31,159.0
72,3.0,1.1633836794260906,1.1654092451602702,1.4955764598315557,35.31,157.5
73,4.0,1.186407609937926,1.1891083642501656,1.4931120215216303,35.31,156.0
74,2.75,1.186407609937926,1.1882643785275906,1.475725915636588,35.31,156.0
