n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,145.6106060123542,1.085643679246614,1.1453882829044992,1.086053983174975,24.25,194.0
2,145.6106060123542,1.085643679246614,1.1453882829044992,1.085643679246614,24.25,196.0
3,107.86060602940582,1.1011326525422394,1.1453882829114956,1.1011326525422394,27.95,198.0
4,107.86060602940582,1.1011326525422394,1.1453882829114956,1.1011326525422394,27.95,199.5
5,166.4106060041708,1.0771093575367026,1.1453882829011375,1.0771093575367026,27.24,201.0
6,166.4106060041711,1.0771093575367026,1.1453882829011375,1.0771093575367026,27.24,198.5
7,123.06060602196575,1.094896032831149,1.1453882829084387,1.094896032831149,24.25,196.0
8,123.06060602196973,1.094896032831149,1.1453882829084405,1.094896032831149,24.25,195.0
9,416.9999999857047,0.7757821525484365,0.9468788906690806,0.7757821525484365,27.49,194.0
10,185.2499999975957,0.7757821525484365,0.8517909552763131,0.7757821525484365,27.49,197.5
11,-0.0,0.6937829124655038,0.6937829124655038,0.6937829124655038,25.67,201.0
12,-0.0,0.6937829124655038,0.6937829124655038,0.6937829124655038,25.67,204.5
13,-0.0,0.6181638984685836,0.6181638984685836,0.6181638984685836,26.89,208.0
14,-0.0,0.6181638984685836,0.6181638984685836,0.6181638984685836,26.89,212.5
15,-0.0,0.598120551568152,0.598120551568152,0.598120551568152,24.95,217.0
16,-0.0,0.598120551568152,0.598120551568152,0.598120551568152,24.95,216.5
17,-0.0,0.5523716635559078,0.5523716635559078,0.5523716635559078,27.49,216.0
18,-0.0,0.5523716635559078,0.5523716635559078,0.5523716635559078,27.49,215.5
19,-0.0,0.5267686984261855,0.5267686984261855,0.5267686984261855,27.1,215.0
20,-0.0,0.5267686984261855,0.5267686984261855,0.5267686984261855,27.1,215.0
21,-0.0,0.5431808555606228,0.5431808555606228,0.5431808555606228,33.96,215.0
22,-0.0,0.5431808555606228,0.5431808555606228,0.5431808555606228,33.96,218.0
23,-0.0,0.5628138985326936,0.5628138985326936,0.5628138985326936,30.26,221.0
24,-0.0,0.5628138985326936,0.5628138985326936,0.5628138985326936,30.26,218.0
25,-0.0,0.6619433276246953,0.6619433276246953,0.6619433276246953,30.03,215.0
26,449.25000001611136,0.6619433276246953,0.8462723674474556,0.8462723674408451,30.03,218.0
27,479.33292678415864,1.0281395836868292,1.2248117665391136,1.4244931784834918,32.34,221.0
28,479.33292678415864,1.0281395836868292,1.2248117665391136,1.4192618033968898,32.34,231.5
29,273.58292682095225,1.1125596169470915,1.2248117665542102,1.4907572629137826,29.18,242.0
30,273.5829268209524,1.1125596169470915,1.2248117665542102,1.4761914734569694,29.18,238.5
31,175.53292684468866,1.1527899171228768,1.224811766563945,1.4941627855191741,35.31,235.0
32,175.5329268520954,1.1527899171228768,1.2248117665669842,1.514677981937221,35.31,232.5
33,190.08292685218777,1.1468199949652296,1.2248117665670264,1.5159909545079802,33.84,230.0
34,190.08292685221022,1.1468199949652296,1.2248117665670355,1.4899366550570607,33.84,228.5
35,236.93292684038238,1.1275972559215195,1.2248117665621825,1.4463008322758752,35.31,227.0
36,236.9329268404218,1.1275972559215195,1.2248117665621985,1.4227083563951215,35.31,225.0
37,392.03292681302736,1.0639591166327387,1.2248117665509584,1.3310669739957068,35.11,223.0
38,392.03292681312445,1.0639591166327387,1.2248117665509983,1.3010122112432685,35.11,222.5
39,271.33292683353585,1.1134828007859037,1.2248117665593734,1.325404779784326,33.96,222.0
40,271.3329268336785,1.1134828007859037,1.2248117665594318,1.3006839681005797,33.96,219.0
41,295.5329268293596,1.1035534457195648,1.2248117665576554,1.2655209214400436,32.92,216.0
42,295.5329268296078,1.1035534457195648,1.2248117665577574,1.2502371001085988,32.92,215.0
43,235.18292684185388,1.128315287796151,1.224811766562786,1.2597151208537405,31.99,214.0
44,235.18292684213574,1.128315287796151,1.2248117665629017,1.2384818925610621,31.99,213.0
45,280.1829268333595,1.1098516110199093,1.2248117665593008,1.2037086346324728,30.03,212.0
46,280.1829268337699,1.1098516110199093,1.224811766559469,1.1911943648174643,30.03,215.5
47,154.23292686765504,1.161529390796969,1.2248117665733724,1.2365124337049296,26.98,219.0
48,154.23292686816447,1.161529390796969,1.2248117665735816,1.2237930119257407,26.98,218.5
49,784.9829267588209,0.9027301879833096,1.2248117665287173,0.9556593947418701,27.33,218.0
50,784.9829267603565,0.9027301879833096,1.2248117665293474,0.9466327083179296,27.33,219.5
51,338.6829268276993,1.0858488312107946,1.2248117665569784,1.12339164065582,26.5,221.0
52,338.6829268287303,1.0858488312107946,1.2248117665574014,1.1170319297662255,26.5,220.5
53,345.782926828812,1.082935673319432,1.224811766557435,1.1065281492001857,29.34,220.0
54,345.7829268299947,1.082935673319432,1.2248117665579203,1.0972963108120646,29.34,218.5
55,355.53292682992543,1.0789352100179128,1.224811766557892,1.0880644724239437,26.33,217.0
56,355.53292683129035,1.0789352100179128,1.224811766558452,1.0857052248358683,26.33,212.0
57,262.73292684686163,1.1170114145698076,1.2248117665648408,1.1210118778713267,28.64,207.0
58,262.73292684832614,1.1170114145698076,1.2248117665654419,1.1188577822474317,28.64,212.5
59,467.6829268224598,1.032919624452234,1.2248117665548286,1.0340479602552266,28.88,218.0
60,467.6829268244124,1.032919624452234,1.2248117665556297,1.0340479602552266,28.88,221.0
61,387.3329268358776,1.0658875450960352,1.2248117665603342,1.0658875450960352,30.03,224.0
62,387.3329268381892,1.0658875450960352,1.2248117665612828,1.0658875450960352,30.03,229.0
63,366.882926843294,1.0742782604310162,1.224811766563377,1.0742782604310162,34.07,234.0
64,366.882926846296,1.0742782604310162,1.2248117665646088,1.0742782604310162,34.07,235.5
65,363.33292685022866,1.0757348393766935,1.2248117665662182,1.163745032010114,35.31,237.0
66,363.3329268495252,1.0757348393766935,1.2248117665659297,1.2474470333957446,35.31,239.5
67,217.9329268385694,1.1353930305603772,1.2248117665614384,1.3046434010092627,35.31,242.0
68,24.3606062505401,1.1353930305603772,1.1453882830022277,1.2988991460122097,35.31,246.0
69,2.5158957208336813e-07,1.1586982936912784,1.1586982937945065,1.3159472742356064,35.31,250.0
70,2.5118383741186045e-07,1.1586982936912784,1.1586982937943402,1.3075360437042074,35.31,251.0
71,36.510606139475684,1.130407837830792,1.145388282956658,1.270834357312322,35.31,252.0
72,36.510606139917,1.130407837830792,1.145388282956839,1.2641669184764568,35.31,253.5
73,149.9606060125527,1.083858857158244,1.1453882829045807,1.2101298911113216,35.31,255.0
74,149.96060601319428,1.083858857158244,1.1453882829048438,1.2031547243291856,35.31,250.5
75,99.26060603654216,1.1046612663261435,1.1453882829144237,1.215135599037325,35.31,246.0
76,99.26060603711767,1.1046612663261435,1.14538828291466,1.2078527043089184,35.31,246.5
77,126.2606060247013,1.0935830602603982,1.1453882829095654,1.1844653803923453,35.31,247.0
78,126.2606060255157,1.0935830602603982,1.1453882829098996,1.1715408066489759,35.31,243.5
79,55.21060608274502,1.1227351543704425,1.1453882829333808,1.1856142313917557,35.31,240.0
80,55.21060608356406,1.1227351543704425,1.145388282933717,1.1785364886275296,35.31,237.0
81,127.11060602799279,1.0932343019212913,1.1453882829109157,1.1421630453783327,35.31,234.0
