n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,53.5,1.0724724285188412,1.0936679272816117,1.0728686060658088,24.95,140.0
2,63.75,1.0724724285188412,1.0977287471380304,1.0724724285188412,24.95,138.0
3,68.75,1.0973325695910627,1.1245697759450903,1.0973325695910627,27.72,136.0
4,63.25,1.0973325695910627,1.1223907994367681,1.0973325695910627,27.72,138.5
5,51.0,1.0888939878406512,1.1090990427360026,1.0888939878406512,28.97,141.0
6,58.75,1.0888939878406512,1.112169418725002,1.0888939878406512,28.97,139.5
7,67.5,1.0129467520869482,1.0396887365072662,1.0129467520869482,25.41,138.0
8,74.25,1.0129467520869482,1.042362934949298,1.0129467520869482,25.41,135.0
9,77.5,0.8070730898051965,0.8377768496951912,0.8070730898051965,29.38,132.0
10,33.0,0.8070730898051965,0.8201469488551297,0.8070730898051965,29.38,133.5
11,0.0,0.7278771981663545,0.7278771981663545,0.7278771981663545,27.49,135.0
12,0.0,0.7278771981663545,0.7278771981663545,0.7278771981663545,27.49,136.0
13,0.0,0.6915080993547261,0.6915080993547261,0.6915080993547261,29.84,137.0
14,0.0,0.6915080993547261,0.6915080993547261,0.6915080993547261,29.84,139.5
15,0.0,0.6472748762357813,0.6472748762357813,0.6472748762357813,26.57,142.0
16,0.0,0.6472748762357813,0.6472748762357813,0.6472748762357813,26.57,140.0
17,0.0,0.6220977931259897,0.6220977931259897,0.6220977931259897,30.91,138.0
18,0.0,0.6220977931259897,0.6220977931259897,0.6220977931259897,30.91,141.0
19,0.0,0.607142090727956,0.607142090727956,0.607142090727956,30.03,144.0
20,0.0,0.607142090727956,0.607142090727956,0.607142090727956,30.03,142.5
21,0.0,0.6191264615237321,0.6191264615237321,0.6191264615237321,34.67,141.0
22,0.0,0.6191264615237321,0.6191264615237321,0.6191264615237321,34.67,147.5
23,0.0,0.630536374876401,0.630536374876401,0.630536374876401,34.65,154.0
24,0.0,0.630536374876401,0.630536374876401,0.630536374876401,34.65,158.0
25,0.0,0.7708030353803019,0.7708030353803019,0.7708030353803019,35.31,162.0
26,19.25,0.7708030353803019,0.7784294531594297,0.8169577196020359,35.31,163.0
27,37.75,0.9581157795866221,0.9730714819846518,1.0637961402402492,35.31,164.0
28,19.25,0.9581157795866221,0.9657421973657498,1.0634990070800232,35.31,171.5
29,0.0,1.1268676057175027,1.1268676057175027,1.2298737679290979,35.31,179.0
30,0.0,1.1268676057175027,1.1268676057175027,1.2262091256196468,35.31,180.0
31,0.0,1.1911870304677044,1.1911870304677044,1.2831002213642047,35.31,181.0
32,0.0,1.1911870304677044,1.1911870304677044,1.2831002213642047,35.31,183.0
33,0.0,1.1524606752516142,1.1524606752516142,1.247543286523856,35.31,185.0
34,0.0,1.1524606752516142,1.1524606752516142,1.2417987120928247,35.31,182.5
35,0.0,1.151093862714576,1.151093862714576,1.2341921031910454,35.31,180.0
36,0.0,1.151093862714576,1.151093862714576,1.2266647297986597,35.31,179.0
37,0.0,1.060745573128598,1.060745573128598,1.1288881112070377,35.31,178.0
38,2.75,1.060745573128598,1.061835061382759,1.1185874949858783,35.31,175.5
39,22.75,1.093588691772218,1.1026017309657326,1.1460822167454348,32.64,173.0
40,15.25,1.093588691772218,1.099630399363475,1.1404366867011455,32.64,174.0
41,2.75,1.0368362581690989,1.0379257464232599,1.0751664358382211,30.01,175.0
42,3.75,1.0368362581690989,1.0383219239702275,1.0706103940480929,30.01,174.5
43,11.0,1.054030363707492,1.0583883167241364,1.0850312567577123,28.64,174.0
44,30.25,1.054030363707492,1.066014734503264,1.0798809486471326,28.64,169.5
45,42.5,1.072155486481267,1.088993032227393,1.0950347398186502,27.97,165.0
46,51.25,1.072155486481267,1.09245958576336,1.093945251564489,27.97,164.0
47,55.0,1.033488557897222,1.055278322980444,1.0549811898202184,27.74,163.0
48,71.25,1.033488557897222,1.0617162081186688,1.052901257698638,27.74,162.0
49,107.25,0.8297542543690958,0.8722442962813788,0.8480774659163507,27.72,161.0
50,101.0,0.8297542543690958,0.8697681866128308,0.8450070899273513,27.72,161.0
51,123.25,0.9843625420732305,1.0331914247369962,0.997040223576196,27.26,161.0
52,193.25,0.9843625420732305,1.0609238530247334,0.9956536021618092,27.26,158.5
53,237.0,0.9730714819846518,1.0669655606159905,0.9826787874986179,28.26,156.0
54,204.75,0.9730714819846518,1.0541888347262829,0.9779246569350057,28.26,157.5
55,174.25,1.0221380711765982,1.0911720087357153,1.024713225231888,27.24,159.0
56,226.0,1.0221380711765982,1.1116741967912924,1.0239208701379527,27.24,156.5
57,273.5,0.9980504763209636,1.1064050354166222,0.9991399645751246,28.16,154.0
58,288.25,0.9980504763209636,1.1122486542343955,0.9991399645751246,28.16,153.0
59,299.25,1.0182753400936633,1.1368314710237397,1.0193648283478245,28.45,152.0
60,302.0,1.0182753400936633,1.1379209592779007,1.0193648283478245,28.45,151.5
61,303.5,1.0902806092550381,1.210520494759727,1.0902806092550381,29.8,151.0
62,254.5,1.0902806092550381,1.1911077949583109,1.0902806092550381,29.8,155.5
63,154.75,1.1174781978543689,1.1787866732476164,1.1174781978543689,32.34,160.0
64,79.5,1.1174781978543689,1.148974312838299,1.1174781978543689,32.34,161.5
65,77.25,1.0578930947904306,1.0884978102936835,1.0764143951111695,35.31,163.0
66,56.0,1.0578930947904306,1.0800790374206204,1.091370097509199,35.31,167.0
67,14.75,1.1198948808908715,1.1257384997086448,1.151985262195253,35.31,171.0
68,8.25,1.1198948808908715,1.123163345653355,1.1505986407808664,35.31,172.0
69,2.75,1.1546198428825882,1.1557093311367495,1.184036025744938,35.31,173.0
70,2.75,1.1546198428825882,1.1557093311367495,1.1818570492366158,35.31,174.0
71,0.0,1.1560856998063687,1.1560856998063687,1.1819362847460093,35.31,175.0
72,0.0,1.1560856998063687,1.1560856998063687,1.181143929652074,35.31,175.5
73,0.0,1.1368116621463913,1.1368116621463913,1.1618698919920967,35.31,176.0
74,0.0,1.1368116621463913,1.1368116621463913,1.1596909154837745,35.31,178.0
75,0.0,1.1577298366262845,1.1577298366262845,1.178826291002313,35.31,180.0
76,0.0,1.1577298366262845,1.1577298366262845,1.176548270107249,35.31,178.0
77,0.0,1.0664505298049325,1.0664505298049325,1.08388234187151,35.31,176.0
78,0.0,1.0664505298049325,1.0664505298049325,1.0832880755510585,35.31,175.0
79,2.75,1.1307303368004376,1.1318198250545985,1.1459831723586928,35.31,174.0
80,5.5,1.1307303368004376,1.1329093133087598,1.1438041958503706,35.31,172.5
81,10.75,1.1332658731010306,1.137524781730933,1.1463397321509639,35.31,171.0
82,7.75,1.1332658731010306,1.1363362490900302,1.1451511995100607,35.31,172.5
83,2.75,1.1349694365529917,1.1360589248071529,1.1435862981995386,32.79,174.0
84,2.75,1.1349694365529917,1.1360589248071529,1.1420015880116678,32.79,174.5
85,1.0,1.1175376244864141,1.1179338020333818,1.1229850657572196,35.31,175.0
