n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,75.5,1.086346175699933,1.1158680460375,1.0867371938500996,27.03,221.0
2,77.0,1.086346175699933,1.1164545732627496,1.086346175699933,27.03,218.5
3,43.0,1.1016740871864577,1.118487867643615,1.1016740871864577,27.72,216.0
4,45.25,1.1016740871864577,1.1193676584814896,1.1016740871864577,27.72,218.0
5,16.5,1.0906082735367475,1.0970600730144937,1.0906082735367475,28.57,220.0
6,20.0,1.0906082735367475,1.0984286365400764,1.0906082735367475,28.57,219.5
7,41.75,1.0875974337804657,1.103922441549915,1.0875974337804657,27.72,219.0
8,44.0,1.0875974337804657,1.1048022323877893,1.0875974337804657,27.72,220.0
9,46.75,0.7813520185701001,0.7996321170903815,0.7813520185701001,27.72,221.0
10,19.25,0.7813520185701001,0.7888791179608041,0.7813520185701001,27.72,220.5
11,0.0,0.7250454049461355,0.7250454049461355,0.7250454049461355,27.65,220.0
12,0.0,0.7250454049461355,0.7250454049461355,0.7250454049461355,27.65,220.5
13,0.0,0.6625998063645537,0.6625998063645537,0.6625998063645537,27.72,221.0
14,0.0,0.6625998063645537,0.6625998063645537,0.6625998063645537,27.72,227.0
15,0.0,0.6242604767407336,0.6242604767407336,0.6242604767407336,27.03,233.0
16,0.0,0.6242604767407336,0.6242604767407336,0.6242604767407336,27.03,233.0
17,0.0,0.5741515007969034,0.5741515007969034,0.5741515007969034,29.76,233.0
18,0.0,0.5741515007969034,0.5741515007969034,0.5741515007969034,29.76,234.0
19,0.0,0.5697720975150392,0.5697720975150392,0.5697720975150392,27.72,235.0
20,0.0,0.5697720975150392,0.5697720975150392,0.5697720975150392,27.72,234.5
21,0.0,0.5964786371714075,0.5964786371714075,0.5964786371714075,32.34,234.0
22,0.0,0.5964786371714075,0.5964786371714075,0.5964786371714075,32.34,236.5
23,0.0,0.6080527744163343,0.6080527744163343,0.6080527744163343,35.31,239.0
24,0.0,0.6080527744163343,0.6080527744163343,0.6080527744163343,35.31,243.0
25,0.0,0.7476267031182479,0.7476267031182479,0.7476267031182479,35.31,247.0
26,1.0,0.7476267031182479,0.7480177212684143,0.793180317612639,35.31,249.0
27,1.0,0.9926973287350689,0.9930883468852353,1.0970014202919687,35.31,251.0
28,0.0,0.9926973287350689,0.9926973287350689,1.096708156679344,35.31,254.0
29,0.0,1.1226913127579004,1.1226913127579004,1.2243560318011768,35.31,257.0
30,0.0,1.1226913127579004,1.1226913127579004,1.220739113912137,35.31,259.5
31,0.0,1.1882650565408177,1.1882650565408177,1.2789812673794336,35.31,262.0
32,0.0,1.1882650565408177,1.1882650565408177,1.2789812673794336,35.31,264.0
33,0.0,1.1727416359792096,1.1727416359792096,1.2665859920191571,35.31,266.0
34,0.0,1.1727416359792096,1.1727416359792096,1.2609162288417435,35.31,260.5
35,0.0,1.1493587505992562,1.1493587505992562,1.2313748075966686,35.31,255.0
36,5.5,1.1493587505992562,1.1515093504251717,1.223945462743506,35.31,252.5
37,2.75,1.0061483531007909,1.0072236530137486,1.07340347492942,35.31,250.0
38,2.75,1.0061483531007909,1.0072236530137486,1.0632370030250922,35.31,249.0
39,34.5,1.0966690548643274,1.1101591810450697,1.1484789597613816,32.07,248.0
40,33.5,1.0966690548643274,1.1097681628949034,1.1429069511215098,32.07,246.0
41,54.0,1.1275203869124601,1.1486353670214482,1.165351392941064,29.18,244.0
42,57.5,1.1275203869124601,1.1500039305470309,1.1608546842141498,29.18,241.0
43,105.5,1.1117428045532438,1.152995219395804,1.1423399748037684,27.79,238.0
44,98.25,1.1117428045532438,1.1501603378070973,1.1372567388516044,27.79,235.0
45,65.25,1.1120751699808815,1.1375891042792423,1.1346564681529938,28.05,232.0
46,65.25,1.1120751699808815,1.1375891042792423,1.133581168240036,28.05,227.5
47,121.0,1.0864830320524914,1.1337962282226315,1.107695766699021,27.79,223.0
48,167.75,1.0864830320524914,1.1520763267429128,1.1056429214106471,27.79,220.0
49,200.25,0.8732412838592192,0.9515426684300503,0.8913258733044174,27.51,217.0
50,208.25,0.8732412838592192,0.9546708136313818,0.8882954826406274,27.51,212.5
51,288.25,1.0000093681431814,1.11272034992866,1.0125219489485078,27.37,208.0
52,299.25,1.0000093681431814,1.117021549580491,1.011153385422925,27.37,205.0
53,231.0,0.9992664336578653,1.0895916263463146,1.0087486237994017,27.51,202.0
54,266.75,0.9992664336578653,1.1035705252147652,1.0040564059974042,27.51,207.0
55,302.5,1.0107037145502338,1.1289867049755842,1.0132453325263158,27.33,212.0
56,303.0,1.0107037145502338,1.1291822140506675,1.012463296225983,27.33,211.0
57,224.25,1.0344971689878621,1.122182989162688,1.0355724689008199,27.51,210.0
58,258.5,1.0344971689878621,1.135575360805889,1.0355724689008199,27.51,213.5
59,104.5,0.9732246248567797,1.0140860215491736,0.9742999247697375,27.79,217.0
60,143.0,0.9732246248567797,1.0291402203305817,0.9742999247697375,27.79,219.0
61,39.0,1.0531878365658183,1.0684375444223098,1.0531878365658183,30.28,221.0
62,47.0,1.0531878365658183,1.0715656896236412,1.0531878365658183,30.28,228.5
