n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,761.25,1.0724724285188412,1.3740625861479827,1.07395809431997,24.95,140.0
2,760.75,1.0724724285188412,1.373864497374499,1.0728686060658088,24.95,138.0
3,452.0,1.0973325695910627,1.2764048208204513,1.0973325695910627,27.72,136.0
4,471.0,1.0973325695910627,1.283932194212837,1.0973325695910627,27.72,138.5
5,250.5,1.0888939878406512,1.1881364633560534,1.0888939878406512,28.97,141.0
6,252.5,1.0888939878406512,1.1889288184499887,1.0888939878406512,28.97,139.5
7,700.25,1.0129467520869482,1.2903700793510617,1.0129467520869482,25.41,138.0
8,707.25,1.0129467520869482,1.2931433221798354,1.0129467520869482,25.41,135.0
9,196.5,0.8070730898051965,0.8849219777843443,0.8070730898051965,29.38,132.0
10,82.5,0.8070730898051965,0.8397577374300296,0.8070730898051965,29.38,133.5
11,0.0,0.7278771981663545,0.7278771981663545,0.7278771981663545,27.49,135.0
12,0.0,0.7278771981663545,0.7278771981663545,0.7278771981663545,27.49,136.0
13,0.0,0.6915080993547261,0.6915080993547261,0.6915080993547261,29.84,137.0
14,0.0,0.6915080993547261,0.6915080993547261,0.6915080993547261,29.84,139.5
15,0.0,0.6472748762357813,0.6472748762357813,0.6472748762357813,26.57,142.0
16,0.0,0.6472748762357813,0.6472748762357813,0.6472748762357813,26.57,140.0
17,0.0,0.6220977931259897,0.6220977931259897,0.6220977931259897,30.91,138.0
18,0.0,0.6220977931259897,0.6220977931259897,0.6220977931259897,30.91,141.0
19,0.0,0.607142090727956,0.607142090727956,0.607142090727956,30.03,144.0
20,0.0,0.607142090727956,0.607142090727956,0.607142090727956,30.03,142.5
21,0.0,0.6191264615237321,0.6191264615237321,0.6191264615237321,34.67,141.0
22,0.0,0.6191264615237321,0.6191264615237321,0.6191264615237321,34.67,147.5
23,0.0,0.630536374876401,0.630536374876401,0.630536374876401,34.65,154.0
24,0.0,0.630536374876401,0.630536374876401,0.630536374876401,34.65,158.0
25,0.0,0.7708030353803019,0.7708030353803019,0.7708030353803019,35.31,162.0
26,0.0,0.7708030353803019,0.7708030353803019,1.14241757443598,35.31,163.0
27,9.75,0.9581157795866221,0.961978510669557,1.7122397402395888,35.31,164.0
28,13.75,0.9581157795866221,0.9635632208574276,1.697482126615043,35.31,171.5
29,8.25,1.1268676057175027,1.1301360704799859,1.8437508769555084,35.31,179.0
30,3.75,1.1268676057175027,1.1283532715186315,1.8130471170655136,35.31,180.0
31,11.0,1.1911870304677044,1.1955449834843488,1.8403239411742378,35.31,181.0
32,16.5,1.1911870304677044,1.197723959992671,1.867957325075233,35.31,183.0
33,9.25,1.1524606752516142,1.1561253175610653,1.8355698106106257,35.31,185.0
34,15.5,1.1524606752516142,1.1586014272296132,1.7804020871953772,35.31,182.5
35,21.75,1.151093862714576,1.1597107243611229,1.7372385434532491,35.31,180.0
36,17.0,1.151093862714576,1.1578288810130264,1.690093415364096,35.31,179.0
37,9.25,1.060745573128598,1.0644102154380488,1.5527980864624487,35.31,178.0
38,10.75,1.060745573128598,1.0650044817585003,1.5054548695998116,35.31,175.5
39,124.75,1.093588691772218,1.1430118407564354,1.4952136800106972,32.64,173.0
40,122.75,1.093588691772218,1.1422194856625,1.4520303273912207,32.64,174.0
41,270.0,1.0368362581690989,1.1438041958503706,1.3516983636216575,30.01,175.0
42,255.5,1.0368362581690989,1.1380596214193395,1.317131872648728,30.01,174.5
43,522.75,1.054030363707492,1.2611321763848433,1.2971843331589017,28.64,174.0
44,525.75,1.054030363707492,1.2623207090257464,1.2592503330367468,28.64,169.5
45,1351.5,1.072155486481267,1.607589441208078,1.2465726515337854,27.97,165.0
46,1454.0,1.072155486481267,1.6481976397722644,1.221415377301338,27.97,164.0
47,1613.0,1.033488557897222,1.6725229411560796,1.164821414717006,27.74,163.0
48,1739.5,1.033488557897222,1.7226394008474903,1.1480829133576216,27.74,162.0
49,1856.0,0.8297542543690958,1.5650597815410983,0.9283034191773046,27.72,161.0
50,1960.5,0.8297542543690958,1.6064603351992202,0.9106735183372432,27.72,161.0
51,2058.25,0.9843625420732305,1.7997949781194447,1.0514155918975092,27.26,161.0
52,2123.25,0.9843625420732305,1.8255465186723434,1.0403226205824143,27.26,158.5
53,840.75,0.9730714819846518,1.3061577545977234,1.0148682131897413,28.26,156.0
54,929.75,0.9730714819846518,1.3414175562778463,1.0026857536204854,28.26,157.5
55,2187.25,1.0221380711765982,1.8886774107816424,1.0432345255526267,27.24,159.0
56,2214.25,1.0221380711765982,1.8993742045497697,1.0382823062155309,27.24,156.5
57,1114.0,0.9980504763209636,1.439392263642952,1.0082520481553812,28.16,154.0
58,1179.5,0.9980504763209636,1.4653418929693347,1.002309384950866,28.16,153.0
59,638.5,1.0182753400936633,1.271234703832523,1.0215438048561467,28.45,152.0
60,727.0,1.0182753400936633,1.3062964167391622,1.0212466716959208,28.45,151.5
61,368.5,1.0902806092550381,1.2362720353126257,1.0906767868020057,29.8,151.0
62,396.0,1.0902806092550381,1.2471669178542368,1.0902806092550381,29.8,155.5
63,172.75,1.1174781978543689,1.1859178690930345,1.1174781978543689,32.34,160.0
64,199.75,1.1174781978543689,1.1966146628611616,1.1174781978543689,32.34,161.5
65,38.25,1.0578930947904306,1.0730468859619442,1.2158688916437905,35.31,163.0
66,61.25,1.0578930947904306,1.0821589695422007,1.3735475553369247,35.31,167.0
67,34.5,1.1198948808908715,1.1335630062612563,1.4309932996472374,35.31,171.0
68,17.0,1.1198948808908715,1.126629899189322,1.4224754823874324,35.31,172.0
69,32.75,1.1546198428825882,1.1675946575457796,1.4469988725447314,35.31,173.0
70,27.0,1.1546198428825882,1.1653166366507155,1.4326374364671532,35.31,174.0
71,8.75,1.1560856998063687,1.1595522533423357,1.420237079247065,35.31,175.0
72,16.5,1.1560856998063687,1.162622629331335,1.4038947554346484,35.31,175.5
73,17.5,1.1368116621463913,1.1437447692183256,1.366594639387642,35.31,176.0
74,22.25,1.1368116621463913,1.145626612566422,1.353124602790741,35.31,178.0
75,23.25,1.1577298366262845,1.166940964593283,1.3579975866184435,35.31,180.0
76,16.5,1.1577298366262845,1.1642667661512511,1.3433390173806397,35.31,178.0
77,15.0,1.0664505298049325,1.0723931930094475,1.232151788824162,35.31,176.0
78,21.5,1.0664505298049325,1.0749683470647373,1.2087773135530693,35.31,175.0
79,27.0,1.1307303368004376,1.1414271305685646,1.245225647874095,35.31,174.0
80,27.5,1.1307303368004376,1.1416252193420484,1.2279919245810014,35.31,172.5
81,14.75,1.1332658731010306,1.1391094919188038,1.2194344895664997,35.31,171.0
82,19.25,1.1332658731010306,1.1408922908801584,1.2071529856105017,35.31,172.5
83,107.0,1.1349694365529917,1.1773604340785329,1.1993482879352386,32.79,174.0
84,114.75,1.1349694365529917,1.1804308100675323,1.1915237813826272,32.79,174.5
85,32.5,1.1175376244864141,1.1304133947628634,1.1621075985202773,35.31,175.0
86,50.25,1.1175376244864141,1.1374455462215396,1.1550754470616011,35.31,170.5
87,543.0,1.1288881112070377,1.3440125192104846,1.1607804037379355,27.72,166.0
88,543.0,1.1288881112070377,1.3440125192104846,1.1555310512406138,27.72,167.0
89,142.5,0.9219843873031701,0.9784396877460636,0.9466464396019079,30.03,168.0
90,152.5,0.9219843873031701,0.9824014632157404,0.9444674630935856,30.03,170.5
91,790.75,1.0703330697652156,1.3836104650299037,1.0878639262185352,24.72,173.0
92,803.25,1.0703330697652156,1.3885626843669996,1.0835059732018908,24.72,167.0
93,325.75,1.0782368118272208,1.2072916477519404,1.0895278719157995,28.85,161.0
94,393.25,1.0782368118272208,1.2340336321722585,1.0879431617279287,28.85,146.0
95,627.0,1.0755031867531437,1.323906508701875,1.0819410718913685,27.72,131.0
