date,n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
2024-02-04,1,0.0,40.2,40.2,40.2,35.3,147.67
2024-02-04,2,0.0,42.6,42.6,42.6,28.985,147.6325
2024-02-04,3,0.0,46.2,46.2,46.2,22.67,147.595
2024-02-04,4,0.0,46.2,46.2,46.2,16.354999999999997,147.5575
2024-02-04,5,0.0,45.6,45.6,45.6,10.04,147.52
2024-02-04,6,0.0,47.4,47.4,47.4,8.337499999999999,148.085
2024-02-04,7,0.0,45.6,45.6,45.6,6.635,148.65
2024-02-04,8,0.0,45.6,45.6,45.6,4.9325,149.215
2024-02-04,9,0.0,46.8,46.8,46.8,3.23,149.78
2024-02-04,10,0.0,47.4,47.4,47.4,2.5925,150.60750000000002
2024-02-04,11,0.0,45.6,45.6,45.6,1.955,151.435
2024-02-04,12,0.0,47.4,47.4,47.4,1.3175,152.2625
2024-02-04,13,0.0,43.8,43.8,43.8,0.68,153.09
2024-02-04,14,0.0,45.6,45.6,45.6,0.51,154.1525
2024-02-04,15,0.0,44.4,44.4,44.4,0.34,155.215
2024-02-04,16,0.0,44.4,44.4,44.4,0.17,156.2775
2024-02-04,17,0.0,44.4,44.4,44.4,0.0,157.34
2024-02-04,18,0.0,43.2,43.2,43.2,0.0,156.325
2024-02-04,19,0.0,41.4,41.4,41.4,0.0,155.31
2024-02-04,20,0.0,43.2,43.2,43.2,0.0,154.29500000000002
2024-02-04,21,0.0,42.6,42.6,42.6,0.0,153.28
2024-02-04,22,0.0,41.4,41.4,41.4,0.0,151.775
2024-02-04,23,0.0,48.0,48.0,48.0,0.0,150.26999999999998
2024-02-04,24,0.0,61.2,61.2,94.2,0.0,148.765
2024-02-04,25,0.5467633058656247,74.4,74.94676330586563,541.9,0.0,147.26
2024-02-04,26,2.75,84.0,86.75,548.75,0.2625,145.5025
2024-02-04,27,6.8021801980015795,89.4,96.20218019800159,543.15,0.525,143.745
2024-02-04,28,9.84379074031358,95.4,105.24379074031359,532.65,0.7875000000000001,141.98749999999998
2024-02-04,29,14.066776471710057,96.6,110.66677647171005,511.85,1.05,140.23
2024-02-04,30,22.398579548029673,97.8,120.19857954802967,499.3,3.005,138.21249999999998
2024-02-04,31,27.023942657474308,101.4,128.4239426574743,472.65,4.96,136.195
2024-02-04,32,34.572807753821664,108.6,143.17280775382164,474.35,6.914999999999999,134.1775
2024-02-04,33,58.56755330296622,111.6,170.1675533029662,807.35,8.87,132.16
2024-02-04,34,95.168732129279,107.4,202.568732129279,756.4,9.11,131.085
2024-02-04,35,144.5003512221182,105.0,249.5003512221182,721.0,9.35,130.01
2024-02-04,36,225.74781145141395,108.6,334.3478114514139,686.1,9.59,128.935
2024-02-04,37,303.0891588365204,106.8,409.88915883652044,645.8,9.83,127.86
2024-02-04,38,390.16308362864754,100.2,490.36308362864753,603.45,10.09,127.0825
2024-02-04,39,547.040147507193,105.0,652.040147507193,567.0,10.35,126.305
2024-02-04,40,705.6053552577673,108.0,813.6053552577673,539.75,10.61,125.5275
2024-02-04,41,852.448503586212,111.0,963.448503586212,490.5,10.87,124.75
2024-02-04,42,840.0745127663347,128.4,968.4745127663347,466.65,11.355,124.8325
2024-02-04,43,814.4984339251727,147.6,962.0984339251727,458.35,11.84,124.91499999999999
2024-02-04,44,779.2690437423178,145.8,925.0690437423177,415.3,12.325,124.9975
2024-02-04,45,742.1809476802089,135.0,877.1809476802089,377.0,12.81,125.08
2024-02-04,46,655.4086924665963,106.8,762.2086924665963,310.3,13.0625,125.5425
2024-02-04,47,601.8660026937781,97.2,699.0660026937782,259.45,13.315,126.005
2024-02-04,48,483.84482463232365,97.2,581.0448246323236,231.95,13.5675,126.4675
2024-02-04,49,436.72260069940234,96.6,533.3226006994023,217.6,13.82,126.93
2024-02-04,50,353.0594356655176,97.2,450.2594356655176,209.95,11.52,127.60000000000001
2024-02-04,51,259.22329808652984,101.4,360.62329808652987,197.65,9.22,128.27
2024-02-04,52,195.23515214824698,97.2,292.43515214824697,176.95,6.920000000000001,128.94
2024-02-04,53,168.86883924581517,92.4,261.2688392458152,163.9,4.62,129.61
2024-02-04,54,130.714993963681,94.8,225.51499396368098,152.55,5.8950000000000005,130.1775
2024-02-04,55,117.60052793636561,119.4,237.00052793636561,166.15,7.17,130.745
2024-02-04,56,82.08675419595426,124.2,206.28675419595425,165.45,8.445,131.3125
2024-02-04,57,149.83529238102705,124.8,274.63529238102706,237.55,9.72,131.88
2024-02-04,58,93.91729047279058,115.8,209.71729047279058,214.8,11.22,132.875
2024-02-04,59,89.53363289942233,122.4,211.93363289942232,213.15,12.72,133.87
2024-02-04,60,82.94321594411221,103.8,186.7432159441122,191.8,14.22,134.865
2024-02-04,61,73.65907485091053,90.0,163.65907485091054,164.25,15.72,135.86
2024-02-04,62,66.44869033079101,87.6,154.048690330791,159.1,16.3975,138.29500000000002
2024-02-04,63,57.02028680169234,75.6,132.62028680169234,138.85,17.075,140.73000000000002
2024-02-04,64,54.09076953273638,73.2,127.29076953273639,128.2,17.7525,143.165
2024-02-04,65,51.36798439559469,70.2,121.56798439559469,122.45,18.43,145.6
2024-02-04,66,11.0,69.0,80.0,118.5,23.549999999999997,148.28
2024-02-04,67,5.5,67.8,73.3,117.3,28.67,150.95999999999998
2024-02-04,68,2.75,63.0,65.75,107.0,33.79,153.64
2024-02-04,69,0.0,64.2,64.2,102.7,38.91,156.32
2024-02-04,70,0.0,62.4,62.4,95.4,40.684999999999995,155.9375
2024-02-04,71,0.0,57.6,57.6,82.35,42.459999999999994,155.555
2024-02-04,72,0.0,57.6,57.6,79.6,44.235,155.17249999999999
2024-02-04,73,0.5814087505841314,55.8,56.38140875058413,72.3,46.01,154.79
2024-02-04,74,3.725148083274405,55.8,59.5251480832744,69.55,43.55,152.58749999999998
2024-02-04,75,8.452574377539193,59.4,67.85257437753918,73.15,41.09,150.385
2024-02-04,76,12.122391278415847,54.6,66.72239127841584,65.6,38.63,148.1825
2024-02-04,77,49.5,52.8,102.3,63.8,36.17,145.98
2024-02-04,78,48.062424605259935,54.0,102.06242460525993,65.0,34.39,146.475
2024-02-04,79,41.07380292091615,52.8,93.87380292091615,63.8,32.61,146.97
2024-02-04,80,36.315508397034236,52.8,89.11550839703423,58.3,30.83,147.465
2024-02-04,81,28.45489912156158,51.0,79.45489912156158,56.5,29.05,147.96
2024-02-04,82,22.34185858324409,51.6,73.94185858324408,57.1,27.9175,147.9725
2024-02-04,83,20.91732660157689,51.6,72.51732660157688,57.1,26.785,147.985
2024-02-04,84,14.414828462209918,52.2,66.61482846220991,54.95,25.6525,147.9975
2024-02-04,85,13.75,49.8,63.55,52.55,24.52,148.01
2024-02-04,86,11.0,48.6,59.6,48.6,24.5,148.89999999999998
2024-02-04,87,11.0,48.6,59.6,48.6,24.48,149.79
2024-02-04,88,5.5,50.4,55.9,50.4,24.46,150.68
2024-02-04,89,5.5,46.2,51.7,46.2,24.44,151.57
2024-02-04,90,0.0,42.6,42.6,42.6,18.4725,151.9275
2024-02-04,91,0.0,46.8,46.8,46.8,12.505,152.285
2024-02-04,92,0.0,45.0,45.0,45.0,6.5375000000000005,152.64249999999998
2024-02-04,93,0.0,46.2,46.2,46.2,0.57,153.0
2024-02-04,94,0.0,47.4,47.4,47.4,0.4275,152.8025
2024-02-04,95,0.0,46.8,46.8,46.8,0.285,152.60500000000002
2024-02-04,96,0.0,43.8,43.8,43.8,0.1425,152.4075
