n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,59.75,1.7123649222763233,1.7528115557780668,1.7130418533809548,27.37,136.0
2,60.75,1.7123649222763233,1.7534884868826983,1.7123649222763233,27.37,137.0
3,18.0,1.645111817031165,1.6572965769145354,1.645111817031165,30.84,138.0
4,18.5,1.645111817031165,1.6576350424668511,1.645111817031165,30.84,140.5
5,8.25,1.562153910158551,1.5677385917717626,1.562153910158551,32.55,143.0
6,7.75,1.562153910158551,1.5674001262194468,1.562153910158551,32.55,144.0
7,12.0,1.4631527361061665,1.4712759093617467,1.4631527361061665,31.42,145.0
8,13.75,1.4631527361061665,1.4724605387948522,1.4631527361061665,31.42,145.0
9,38.5,1.136939636784155,1.1630014843124752,1.136939636784155,29.57,145.0
10,16.5,1.136939636784155,1.148109000010578,1.136939636784155,29.57,145.5
11,0.0,1.0109627582121976,1.0109627582121976,1.0109627582121976,28.41,146.0
12,0.0,1.0109627582121976,1.0109627582121976,1.0109627582121976,28.41,146.0
13,0.0,1.0773696995765663,1.0773696995765663,1.0773696995765663,27.85,146.0
14,0.0,1.0773696995765663,1.0773696995765663,1.0773696995765663,27.85,147.5
15,0.0,1.0526617142575097,1.0526617142575097,1.0526617142575097,27.72,149.0
16,0.0,1.0526617142575097,1.0526617142575097,1.0526617142575097,27.72,150.0
17,0.0,0.9868978574425411,0.9868978574425411,0.9868978574425411,27.72,151.0
18,0.0,0.9868978574425411,0.9868978574425411,0.9868978574425411,27.72,155.0
19,0.0,0.9827008845938245,0.9827008845938245,0.9827008845938245,27.72,159.0
20,0.0,0.9827008845938245,0.9827008845938245,0.9827008845938245,27.72,162.5
21,0.0,0.9866947781111447,0.9866947781111447,0.9866947781111447,32.34,166.0
22,0.0,0.9866947781111447,0.9866947781111447,0.9866947781111447,32.34,181.5
23,0.0,1.0113012237645134,1.0113012237645134,1.0113012237645134,32.34,197.0
