n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,396.5,1.1046085137059771,1.372320784906723,1.1052837022840372,27.91,154.0
2,396.5,1.1046085137059771,1.372320784906723,1.1046085137059771,27.91,151.5
3,34.75,1.2311050938054973,1.2545678968930782,1.2311050938054973,33.49,149.0
4,39.5,1.2311050938054973,1.2577750426388628,1.2311050938054973,33.49,150.5
5,107.5,1.1529182564661622,1.2255010286076002,1.1529182564661622,32.25,152.0
6,107.25,1.1529182564661622,1.2253322314630852,1.1529182564661622,32.25,156.0
7,413.5,1.177731436709863,1.456921913737627,1.177731436709863,26.54,160.0
8,420.5,1.177731436709863,1.4616482337840462,1.177731436709863,26.54,158.0
9,370.75,1.0195009934415282,1.2698271587572318,1.0195009934415282,29.55,156.0
10,161.75,1.0195009934415282,1.1287127459427153,1.0195009934415282,29.55,156.0
11,0.0,0.6507805109630234,0.6507805109630234,0.6507805109630234,26.11,156.0
12,0.0,0.6507805109630234,0.6507805109630234,0.6507805109630234,26.11,155.5
13,0.0,0.49339405341726333,0.49339405341726333,0.49339405341726333,28.74,155.0
14,0.0,0.49339405341726333,0.49339405341726333,0.49339405341726333,28.74,154.5
15,0.0,0.4487640884075047,0.4487640884075047,0.4487640884075047,25.41,154.0
16,0.0,0.4487640884075047,0.4487640884075047,0.4487640884075047,25.41,157.5
17,0.0,0.36676243560213134,0.36676243560213134,0.36676243560213134,29.3,161.0
18,0.0,0.36676243560213134,0.36676243560213134,0.36676243560213134,29.3,165.0
19,0.0,0.33813443989239134,0.33813443989239134,0.33813443989239134,26.43,169.0
20,0.0,0.33813443989239134,0.33813443989239134,0.33813443989239134,26.43,168.0
21,0.0,0.36071949782849533,0.36071949782849533,0.36071949782849533,30.22,167.0
22,0.0,0.36071949782849533,0.36071949782849533,0.36071949782849533,30.22,162.0
23,0.0,0.3967745678968933,0.3967745678968933,0.3967745678968933,30.03,157.0
24,0.0,0.3967745678968933,0.3967745678968933,0.3967745678968933,30.03,160.0
25,0.0,0.6178650677826037,0.6178650677826037,0.6178650677826037,35.31,163.0
26,0.0,0.6178650677826037,0.6178650677826037,0.9211935364760085,35.31,171.0
27,3.75,1.0427949993845944,1.045326956552319,1.6950271657904463,35.31,179.0
28,4.25,1.0427949993845944,1.045664550841349,1.6864185114201828,35.31,184.0
29,6.5,1.1869477608003807,1.1913364865577698,1.8093028326270826,35.31,189.0
30,2.75,1.1869477608003807,1.1888045293900453,1.7853336381059564,35.31,195.0
31,2.75,1.3220529952701643,1.323909763859829,1.8838098922159914,35.31,201.0
32,5.5,1.3220529952701643,1.3257665324494936,1.9175693211189857,35.31,200.0
33,11.0,1.2730343045030097,1.2804613788616683,1.880535227612394,35.31,199.0
34,8.25,1.2730343045030097,1.2786046102720037,1.837660752905591,35.31,191.5
35,2.75,1.2054141684103186,1.2072709369999832,1.7298668964183368,35.31,184.0
36,4.25,1.2054141684103186,1.208283719867073,1.6910435531798933,35.31,181.0
37,0.0,1.141980201501592,1.141980201501592,1.5815279658185792,35.31,178.0
38,0.0,1.141980201501592,1.141980201501592,1.5320704024756924,35.31,176.5
39,69.75,1.1825252756140883,1.2296196789337657,1.5312601761820206,34.19,175.0
40,79.25,1.1825252756140883,1.2360339704253345,1.4905800643539124,34.19,171.5
41,84.0,1.1076468623072466,1.1643627028642773,1.3741775534963876,34.19,168.0
42,70.0,1.1076468623072466,1.1549100627714388,1.3490267789636567,34.19,168.5
43,192.25,1.2242181703092865,1.3540231744413,1.4404473124329658,32.53,169.0
44,205.25,1.2242181703092865,1.3628006259560785,1.4055063035183666,32.53,164.0
45,328.75,1.2176013222442994,1.4395695672814877,1.3720507094754988,29.01,159.0
46,362.75,1.2176013222442994,1.4625259789355238,1.3514574578446723,29.01,151.5
47,716.25,1.1625396937035155,1.6461435127389108,1.2859304063439603,28.45,144.0
48,754.75,1.1625396937035155,1.6721382729942165,1.2649995604241036,28.45,139.0
