n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,272.5891890318533,1.0724452152031883,1.1830783409575512,1.073967191269269,26.8,154.0
2,272.5891890318533,1.0724452152031883,1.1830783409575512,1.0728510754874765,26.8,146.5
3,181.23918917700382,1.109520552172917,1.183078341016462,1.109520552172917,28.16,139.0
4,181.23918917700382,1.109520552172917,1.183078341016462,1.109520552172917,28.16,136.0
5,266.9891890394375,1.0747180327952022,1.1830783409606291,1.0747180327952022,27.72,133.0
6,266.9891890394477,1.0747180327952022,1.1830783409606334,1.0747180327952022,27.72,133.5
7,325.53918896435,1.050954913150127,1.1830783409301542,1.050954913150127,27.22,134.0
8,325.5391889643908,1.050954913150127,1.1830783409301706,1.050954913150127,27.22,134.5
9,799.2499997271468,0.7611503771541247,1.085534209260743,0.7611503771541247,26.84,135.0
10,366.7499999611504,0.7611503771541247,0.9099996364010614,0.7611503771541247,26.84,136.0
11,-0.0,0.6832252025707868,0.6832252025707868,0.6832252025707868,25.68,137.0
12,-0.0,0.6832252025707868,0.6832252025707868,0.6832252025707868,25.68,135.5
13,-0.0,0.6283325991208053,0.6283325991208053,0.6283325991208053,27.22,134.0
14,-0.0,0.6283325991208053,0.6283325991208053,0.6283325991208053,27.22,134.0
15,-0.0,0.586001371469544,0.586001371469544,0.586001371469544,24.95,134.0
16,-0.0,0.586001371469544,0.586001371469544,0.586001371469544,24.95,133.5
17,-0.0,0.5364458307579526,0.5364458307579526,0.5364458307579526,27.72,133.0
18,-0.0,0.5364458307579526,0.5364458307579526,0.5364458307579526,27.72,137.5
19,-0.0,0.5350253197629439,0.5350253197629439,0.5350253197629439,27.35,142.0
20,-0.0,0.5350253197629439,0.5350253197629439,0.5350253197629439,27.35,144.0
21,-0.0,0.5517264704614041,0.5517264704614041,0.5517264704614041,31.09,146.0
22,-0.0,0.5517264704614041,0.5517264704614041,0.5517264704614041,31.09,154.5
23,-0.0,0.5817195454703034,0.5817195454703034,0.5817195454703034,30.01,163.0
24,-0.0,0.5817195454703034,0.5817195454703034,0.5817195454703034,30.01,167.0
25,-0.0,0.7123659709826808,0.7123659709826808,0.7123659709826808,32.57,171.0
26,937.9999998951661,0.7123659709826808,1.0930629176024818,1.0930629176450297,32.57,181.0
27,787.5207315356275,1.0317983077317232,1.3514216957156386,1.8043533588743468,33.31,191.0
28,787.5207315356275,1.0317983077317232,1.3514216957156386,1.7892350632846106,33.31,201.5
29,586.7207316364446,1.1132950528167975,1.3514216957565564,1.8476992372363286,32.34,212.0
30,586.7207316364452,1.1132950528167975,1.3514216957565566,1.8162450652039916,32.34,218.0
31,336.97073180288294,1.21465865881778,1.3514216958241072,1.8796607346240257,35.31,224.0
32,336.9707318422242,1.21465865881778,1.3514216958400742,1.907969489453129,35.31,223.0
33,480.9707317579229,1.1562147778802725,1.3514216958058554,1.856019373064233,33.49,222.0
34,480.97073175804934,1.1562147778802725,1.3514216958059067,1.7995033284770985,33.49,215.5
35,600.970731691942,1.1075115437656904,1.3514216957790806,1.7079818343701094,35.31,209.0
36,600.9707316922119,1.1075115437656904,1.35142169577919,1.6596844605398113,35.31,207.0
37,691.1707316498937,1.070902946122893,1.3514216957620147,1.5749814192088603,35.31,205.0
38,691.1707316505276,1.070902946122893,1.351421695762272,1.526481115236418,35.31,201.0
39,574.7207317073735,1.1181653762282562,1.3514216957853435,1.5296062394254375,33.28,197.0
40,574.7207317083785,1.1181653762282562,1.3514216957857514,1.4853674684380216,33.28,194.0
41,639.670731677671,1.0918047507637363,1.3514216957732883,1.4143622117017978,34.32,191.0
42,639.6707316794656,1.0918047507637363,1.3514216957740166,1.3789509018976507,34.32,192.0
43,711.8707316492334,1.062501638238127,1.3514216957617466,1.311598387720021,33.26,193.0
44,711.8707316518488,1.062501638238127,1.3514216957628082,1.272737265499424,33.26,193.0
45,687.5207316653485,1.072384336160545,1.3514216957682872,1.2510643263184331,31.97,193.0
46,687.5207316687045,1.072384336160545,1.3514216957696494,1.2252921982661313,31.97,198.5
47,724.4707316573507,1.0573877986560953,1.3514216957650413,1.1919304828976398,30.49,204.0
48,724.4707316620263,1.0573877986560953,1.351421695766939,1.1747828858864626,30.49,202.5
49,1194.070731494579,0.8667958091543478,1.3514216956989786,0.9677535548710422,30.03,201.0
50,1194.0707315023553,0.8667958091543478,1.3514216957021348,0.9496927722202165,30.03,197.0
51,690.4207316931432,1.0712073413361092,1.351421695779568,1.1398991944518901,29.57,193.0
52,690.4207317000548,1.0712073413361092,1.3514216957823733,1.1285351064918199,29.57,190.5
53,620.0207317363095,1.0997799053499997,1.3514216957970873,1.1425981653424067,30.28,188.0
54,620.0207317438873,1.0997799053499997,1.351421695800163,1.1301179616005441,30.28,188.5
55,578.7207317701652,1.1165419350911032,1.351421695810828,1.1381539952294508,28.18,189.0
56,578.7207317787519,1.1165419350911032,1.3514216958143133,1.1330807416758482,28.18,188.5
57,529.1207318113615,1.1366726051917948,1.351421695827544,1.1471235075122164,28.16,188.0
58,529.1207318212654,1.1366726051917948,1.3514216958315637,1.141035603247893,28.16,189.0
59,672.6207317708652,1.0784316543964394,1.3514216958111123,1.0817800017418173,28.64,190.0
60,672.6207317830957,1.0784316543964394,1.3514216958160763,1.081475606528601,28.64,191.0
61,581.2707318331801,1.1155069913661682,1.3514216958364034,1.1159128516504564,25.87,192.0
62,581.2707318479032,1.1155069913661682,1.351421695842379,1.1155069913661682,25.87,193.5
63,600.0207318565758,1.107897111035764,1.3514216958458989,1.107897111035764,31.39,195.0
64,600.0207318759093,1.107897111035764,1.3514216958537455,1.107897111035764,31.39,196.5
65,582.8707319070865,1.114857614911307,1.351421695866399,1.2766944032712342,35.31,198.0
66,582.8707319094844,1.114857614911307,1.3514216958673722,1.438226796417945,35.31,195.5
67,509.57073172618277,1.1446071737496333,1.3514216957929772,1.4633089619869568,35.31,193.0
68,94.78918942267465,1.1446071737496333,1.1830783411161698,1.4545829658747602,35.31,196.5
69,94.83918942317358,1.1445868807354191,1.1830783411163726,1.4441117705401243,35.31,200.0
70,94.83918942413618,1.1445868807354191,1.1830783411167631,1.4293993352346763,35.31,199.5
71,41.23919005672174,1.1663409919732675,1.1830783413735044,1.4369483365224371,35.31,199.0
72,41.23919006047723,1.1663409919732675,1.1830783413750285,1.4202065997955482,35.31,199.0
73,219.93918911766613,1.093813759170963,1.183078340992379,1.3292127240581297,35.31,199.0
74,219.93918912040246,1.093813759170963,1.1830783409934897,1.3154134743923303,35.31,199.0
75,383.6391889212058,1.0273744306329815,1.1830783409126437,1.232536804340676,35.31,199.0
76,383.639188926707,1.0273744306329815,1.1830783409148764,1.2175199738220117,35.31,199.5
77,444.8891888582977,1.0025154882203282,1.1830783408871117,1.1722665521238755,35.31,200.0
