date,n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
2024-02-04,1,0.0,40.2,40.2,40.2,35.3,147.67
2024-02-04,2,0.0,42.6,42.6,42.6,28.985,147.6325
2024-02-04,3,0.0,46.2,46.2,46.2,22.67,147.595
2024-02-04,4,0.0,46.2,46.2,46.2,16.354999999999997,147.5575
2024-02-04,5,0.0,45.6,45.6,45.6,10.04,147.52
2024-02-04,6,0.0,47.4,47.4,47.4,8.337499999999999,148.085
2024-02-04,7,0.0,45.6,45.6,45.6,6.635,148.65
2024-02-04,8,0.0,45.6,45.6,45.6,4.9325,149.215
2024-02-04,9,0.0,46.8,46.8,46.8,3.23,149.78
2024-02-04,10,0.0,47.4,47.4,47.4,2.5925,150.60750000000002
2024-02-04,11,0.0,45.6,45.6,45.6,1.955,151.435
2024-02-04,12,0.0,47.4,47.4,47.4,1.3175,152.2625
2024-02-04,13,0.0,43.8,43.8,43.8,0.68,153.09
2024-02-04,14,0.0,45.6,45.6,45.6,0.51,154.1525
2024-02-04,15,0.0,44.4,44.4,44.4,0.34,155.215
2024-02-04,16,0.0,44.4,44.4,44.4,0.17,156.2775
2024-02-04,17,0.0,44.4,44.4,44.4,0.0,157.34
2024-02-04,18,0.0,43.2,43.2,43.2,0.0,156.325
2024-02-04,19,0.0,41.4,41.4,41.4,0.0,155.31
2024-02-04,20,0.0,43.2,43.2,43.2,0.0,154.29500000000002
2024-02-04,21,0.0,42.6,42.6,42.6,0.0,153.28
2024-02-04,22,0.0,41.4,41.4,41.4,0.0,151.775
2024-02-04,23,0.0,48.0,48.0,48.0,0.0,150.26999999999998
2024-02-04,24,16.5,61.2,77.7,77.7,0.0,148.765
2024-02-04,25,140.25,74.4,214.65,214.65,0.0,147.26
2024-02-04,26,140.25,84.0,224.25,224.25,0.2625,145.5025
2024-02-04,27,139.42686935024253,89.4,228.82686935024253,229.65,0.525,143.745
2024-02-04,28,132.15770765819275,95.4,227.55770765819275,232.9,0.7875000000000001,141.98749999999998
2024-02-04,29,123.75,96.6,220.35,220.35,1.05,140.23
2024-02-04,30,119.67072907724848,97.8,217.47072907724848,221.55,3.005,138.21249999999998
2024-02-04,31,104.37907812732736,101.4,205.77907812732735,214.15,4.96,136.195
2024-02-04,32,81.17431371244282,108.6,189.77431371244282,221.35,6.914999999999999,134.1775
2024-02-04,33,148.13637155099764,111.6,259.73637155099766,328.85,8.87,132.16
2024-02-04,34,132.45612039661842,107.4,239.85612039661842,302.65,9.11,131.085
2024-02-04,35,106.59595166913141,105.0,211.5959516691314,292.0,9.35,130.01
2024-02-04,36,94.82408658044626,108.6,203.42408658044627,281.85,9.59,128.935
2024-02-04,37,65.45430736077748,106.8,172.2543073607775,274.55,9.83,127.86
2024-02-04,38,58.468031121472926,100.2,158.66803112147292,251.45,10.09,127.0825
2024-02-04,39,52.66927603682911,105.0,157.6692760368291,245.25,10.35,126.305
2024-02-04,40,45.16312553369707,108.0,153.16312553369707,234.5,10.61,125.5275
2024-02-04,41,39.251556185474136,111.0,150.25155618547413,221.0,10.87,124.75
2024-02-04,42,24.799444988582863,128.4,153.19944498858285,227.4,11.355,124.8325
2024-02-04,43,16.986188949499123,147.6,164.5861889494991,235.6,11.84,124.91499999999999
2024-02-04,44,16.5,145.8,162.3,217.3,12.325,124.9975
2024-02-04,45,13.75,135.0,148.75,195.5,12.81,125.08
2024-02-04,46,9.473527759100762,106.8,116.27352775910076,161.8,13.0625,125.5425
2024-02-04,47,7.51919367442639,97.2,104.71919367442639,143.95,13.315,126.005
2024-02-04,48,5.26209577310361,97.2,102.46209577310361,141.2,13.5675,126.4675
2024-02-04,49,2.75,96.6,99.35,129.6,13.82,126.93
2024-02-04,50,21.73455193273754,97.2,118.93455193273755,124.7,11.52,127.60000000000001
2024-02-04,51,116.22924683298157,101.4,217.62924683298158,123.4,9.22,128.27
2024-02-04,52,180.30939921739355,97.2,277.50939921739354,113.7,6.920000000000001,128.94
2024-02-04,53,224.01009379767936,92.4,316.41009379767934,108.9,4.62,129.61
2024-02-04,54,203.93104108179557,94.8,298.7310410817956,111.3,5.8950000000000005,130.1775
2024-02-04,55,170.74039670805595,119.4,290.14039670805596,133.15,7.17,130.745
2024-02-04,56,162.30299190685187,124.2,286.5029919068519,137.95,8.445,131.3125
2024-02-04,57,105.67017183388188,124.8,230.47017183388186,155.05,9.72,131.88
2024-02-04,58,46.83535801294704,115.8,162.63535801294705,146.05,11.22,132.875
2024-02-04,59,33.127723685558195,122.4,155.52772368555821,149.9,12.72,133.87
2024-02-04,60,24.095741823500674,103.8,127.89574182350067,128.55,14.22,134.865
2024-02-04,61,22.0,90.0,112.0,112.0,15.72,135.86
2024-02-04,62,22.0,87.6,109.6,109.6,16.3975,138.29500000000002
2024-02-04,63,20.086655031328267,75.6,95.68665503132826,97.6,17.075,140.73000000000002
2024-02-04,64,13.75,73.2,86.95,86.95,17.7525,143.165
2024-02-04,65,12.412620859587307,70.2,82.61262085958731,83.95,18.43,145.6
2024-02-04,66,11.0,69.0,80.0,80.0,23.549999999999997,148.28
2024-02-04,67,5.5,67.8,73.3,78.8,28.67,150.95999999999998
2024-02-04,68,5.5,63.0,68.5,74.0,33.79,153.64
2024-02-04,69,5.5,64.2,69.7,75.2,38.91,156.32
2024-02-04,70,5.5,62.4,67.9,73.4,40.684999999999995,155.9375
2024-02-04,71,4.34379074031358,57.6,61.94379074031358,68.6,42.459999999999994,155.555
2024-02-04,72,2.75,57.6,60.35,68.6,44.235,155.17249999999999
2024-02-04,73,0.5467633058656247,55.8,56.34676330586562,64.05,46.01,154.79
2024-02-04,74,2.75,55.8,58.55,61.3,43.55,152.58749999999998
2024-02-04,75,5.5,59.4,64.9,64.9,41.09,150.385
2024-02-04,76,5.5,54.6,60.1,60.1,38.63,148.1825
2024-02-04,77,5.5,52.8,58.3,58.3,36.17,145.98
2024-02-04,78,5.5,54.0,59.5,59.5,34.39,146.475
2024-02-04,79,5.5,52.8,58.3,58.3,32.61,146.97
2024-02-04,80,5.5,52.8,58.3,58.3,30.83,147.465
2024-02-04,81,5.5,51.0,56.5,56.5,29.05,147.96
2024-02-04,82,5.5,51.6,57.1,57.1,27.9175,147.9725
2024-02-04,83,7.412251168698262,51.6,59.01225116869826,57.1,26.785,147.985
2024-02-04,84,8.486398408770526,52.2,60.68639840877053,57.7,25.6525,147.9975
2024-02-04,85,11.0,49.8,60.8,55.3,24.52,148.01
2024-02-04,86,11.0,48.6,59.6,54.1,24.5,148.89999999999998
2024-02-04,87,11.0,48.6,59.6,51.35,24.48,149.79
2024-02-04,88,11.0,50.4,61.4,53.15,24.46,150.68
2024-02-04,89,11.0,46.2,57.2,48.95,24.44,151.57
2024-02-04,90,0.0,42.6,42.6,42.6,18.4725,151.9275
2024-02-04,91,0.0,46.8,46.8,46.8,12.505,152.285
2024-02-04,92,0.0,45.0,45.0,45.0,6.5375000000000005,152.64249999999998
2024-02-04,93,0.0,46.2,46.2,46.2,0.57,153.0
2024-02-04,94,0.0,47.4,47.4,47.4,0.4275,152.8025
2024-02-04,95,0.0,46.8,46.8,46.8,0.285,152.60500000000002
2024-02-04,96,0.0,43.8,43.8,43.8,0.1425,152.4075
