date,model_type,ev_portion,max_peak,charging_costs,carbon_emissions
2023-02-04,ps,15%,2.1742857517309587e-11,16.47176321794349,16.53317552799886
2023-02-04,ccm,15%,0.1137421156033502,-8.599588690054647,-2.2865962301505625
2023-02-04,cem,15%,0.5687105780167511,-2.0619342949147015,-11.201497596703964
2023-02-04,ps,30%,2.4639397359580933e-12,17.330411055945422,16.834843490484587
2023-02-04,ccm,30%,0.2936614621031913,-8.723267635680203,-3.1330737508688062
2023-02-04,cem,30%,1.4683073105159756,-2.3291145468090897,-12.408923535637156
2023-02-04,ps,50%,-2.983427631201324,18.178018380577303,17.384958848840594
2023-02-04,ccm,50%,1.5749769270896032,-8.884552662056674,-3.531001549386971
2023-02-04,cem,50%,0.0,-2.4174728804175536,-13.110491162178558
2023-02-04,ps,80%,-19.99106507602209,3.201595990716232,1.8384503210616936
2023-02-04,ccm,80%,4.434369674206199,-8.90513763923955,-3.2634567025729457
2023-02-04,cem,80%,0.0,-2.3695420399759946,-12.9169936158894
2023-02-04,ps,100%,-29.503440634360967,3.1902628327106513,1.8450923348240216
2023-02-04,ccm,100%,5.423372988103569,-8.886263381385739,-3.318403876703957
2023-02-04,cem,100%,0.0,-2.3884141480443253,-12.931567508719832
2023-02-05,ps,15%,-0.1692835075523527,23.83480452836281,15.95089600247094
2023-02-05,ccm,15%,3.3433492741969753,-4.900635662569931,4.882053417221162
2023-02-05,cem,15%,1.22730542976851,-0.5408770275695393,-16.692420522554883
2023-02-05,ps,30%,-0.5690440051018665,21.998399564472106,11.566732856675602
2023-02-05,ccm,30%,8.82018209408198,-5.379991638820663,3.537353887576406
2023-02-05,cem,30%,2.402630247850288,-0.8720400943945802,-19.13907060798151
2023-02-05,ps,50%,-0.799024348580153,21.89827039017925,11.016577565697434
2023-02-05,ccm,50%,16.779511333529655,-5.697238820580247,3.1419590885652617
2023-02-05,cem,50%,5.834980444930846,-1.024058627903747,-20.47666919709099
2023-02-05,ps,80%,-18.14206891746458,1.3353069500324146,-6.761318549215788
2023-02-05,ccm,80%,3.90221050074575,-5.588413146917723,3.2358108546265405
2023-02-05,cem,80%,9.055418676475702,-0.8526451385026619,-20.31995230967144
2023-02-05,ps,100%,-28.288923679272205,1.264220566902987,-4.810381005985747
2023-02-05,ccm,100%,1.217528766207122,-5.5831101435609005,3.2387795887728243
2023-02-05,cem,100%,9.437747951785262,-0.8777323966245192,-20.29490992859342
2023-02-06,ps,15%,-0.0708315625323811,0.2453715489717874,-1.5176387028545986
2023-02-06,ccm,15%,6.0335612821800675,-8.890248330660215,-10.495058700369608
2023-02-06,cem,15%,4.143002485543931,-7.598727141668641,-12.495552148432052
2023-02-06,ps,30%,-1.6490271878157616,0.0664191971805846,-1.9866714344997685
2023-02-06,ccm,30%,11.577413017301472,-9.174167035816485,-10.46758786280834
2023-02-06,cem,30%,10.787755878065788,-7.717908075399478,-12.797774729586214
2023-02-06,ps,50%,-5.66079027320762,-0.4031613731633723,-2.6993399711032833
2023-02-06,ccm,50%,16.302735562310026,-9.502452741889035,-10.5679980407363
2023-02-06,cem,50%,17.435866261398182,-7.93248008505064,-13.106525442048278
2023-02-06,ps,80%,-11.31202066484324,-0.6854951995299144,-3.268563239279751
2023-02-06,ccm,80%,22.12456138345657,-9.487821293160335,-10.568660573944852
