,Price
2024-02-01 00:00:00,47.06
2024-02-01 00:15:00,45.575
2024-02-01 00:30:00,44.09
2024-02-01 00:45:00,42.605
2024-02-01 01:00:00,41.12
2024-02-01 01:15:00,41.379999999999995
2024-02-01 01:30:00,41.64
2024-02-01 01:45:00,41.9
2024-02-01 02:00:00,42.16
2024-02-01 02:15:00,42.38249999999999
2024-02-01 02:30:00,42.605
2024-02-01 02:45:00,42.8275
2024-02-01 03:00:00,43.05
2024-02-01 03:15:00,44.015
2024-02-01 03:30:00,44.98
2024-02-01 03:45:00,45.94499999999999
2024-02-01 04:00:00,46.91
2024-02-01 04:15:00,49.0175
2024-02-01 04:30:00,51.125
2024-02-01 04:45:00,53.2325
2024-02-01 05:00:00,55.34
2024-02-01 05:15:00,58.75750000000001
2024-02-01 05:30:00,62.175000000000004
2024-02-01 05:45:00,65.5925
2024-02-01 06:00:00,69.01
2024-02-01 06:15:00,73.28750000000001
2024-02-01 06:30:00,77.565
2024-02-01 06:45:00,81.8425
2024-02-01 07:00:00,86.12
2024-02-01 07:15:00,87.715
2024-02-01 07:30:00,89.31
2024-02-01 07:45:00,90.905
2024-02-01 08:00:00,92.5
2024-02-01 08:15:00,90.9475
2024-02-01 08:30:00,89.39500000000001
2024-02-01 08:45:00,87.8425
2024-02-01 09:00:00,86.29
2024-02-01 09:15:00,85.635
2024-02-01 09:30:00,84.98
2024-02-01 09:45:00,84.325
2024-02-01 10:00:00,83.67
2024-02-01 10:15:00,82.0575
2024-02-01 10:30:00,80.445
2024-02-01 10:45:00,78.8325
2024-02-01 11:00:00,77.22
2024-02-01 11:15:00,74.815
2024-02-01 11:30:00,72.41
2024-02-01 11:45:00,70.005
2024-02-01 12:00:00,67.6
2024-02-01 12:15:00,65.015
2024-02-01 12:30:00,62.42999999999999
2024-02-01 12:45:00,59.845
2024-02-01 13:00:00,57.26
2024-02-01 13:15:00,60.129999999999995
2024-02-01 13:30:00,63.0
2024-02-01 13:45:00,65.86999999999999
2024-02-01 14:00:00,68.74
2024-02-01 14:15:00,70.32249999999999
2024-02-01 14:30:00,71.905
2024-02-01 14:45:00,73.4875
2024-02-01 15:00:00,75.07
2024-02-01 15:15:00,75.565
2024-02-01 15:30:00,76.06
2024-02-01 15:45:00,76.55499999999999
2024-02-01 16:00:00,77.05
2024-02-01 16:15:00,80.69
2024-02-01 16:30:00,84.33
2024-02-01 16:45:00,87.97
2024-02-01 17:00:00,91.61
2024-02-01 17:15:00,92.375
2024-02-01 17:30:00,93.14
2024-02-01 17:45:00,93.905
2024-02-01 18:00:00,94.67
2024-02-01 18:15:00,95.475
2024-02-01 18:30:00,96.28
2024-02-01 18:45:00,97.08500000000001
2024-02-01 19:00:00,97.89
2024-02-01 19:15:00,95.91
2024-02-01 19:30:00,93.93
2024-02-01 19:45:00,91.95
2024-02-01 20:00:00,89.97
2024-02-01 20:15:00,88.3
2024-02-01 20:30:00,86.63
2024-02-01 20:45:00,84.96000000000001
2024-02-01 21:00:00,83.29
2024-02-01 21:15:00,82.9375
2024-02-01 21:30:00,82.58500000000001
2024-02-01 21:45:00,82.2325
2024-02-01 22:00:00,81.88
2024-02-01 22:15:00,79.755
2024-02-01 22:30:00,77.63
2024-02-01 22:45:00,75.505
2024-02-01 23:00:00,73.38
2024-02-01 23:15:00,71.10249999999999
2024-02-01 23:30:00,68.82499999999999
2024-02-01 23:45:00,66.5475
