,Price
2024-02-03 00:00:00,24.74
2024-02-03 00:15:00,21.7675
2024-02-03 00:30:00,18.794999999999998
2024-02-03 00:45:00,15.8225
2024-02-03 01:00:00,12.85
2024-02-03 01:15:00,11.32
2024-02-03 01:30:00,9.79
2024-02-03 01:45:00,8.26
2024-02-03 02:00:00,6.73
2024-02-03 02:15:00,7.675000000000001
2024-02-03 02:30:00,8.620000000000001
2024-02-03 02:45:00,9.565
2024-02-03 03:00:00,10.51
2024-02-03 03:15:00,10.015
2024-02-03 03:30:00,9.52
2024-02-03 03:45:00,9.024999999999999
2024-02-03 04:00:00,8.53
2024-02-03 04:15:00,8.5975
2024-02-03 04:30:00,8.665
2024-02-03 04:45:00,8.7325
2024-02-03 05:00:00,8.8
2024-02-03 05:15:00,10.72
2024-02-03 05:30:00,12.64
2024-02-03 05:45:00,14.56
2024-02-03 06:00:00,16.48
2024-02-03 06:15:00,20.9025
2024-02-03 06:30:00,25.325000000000003
2024-02-03 06:45:00,29.747500000000002
2024-02-03 07:00:00,34.17
2024-02-03 07:15:00,37.125
2024-02-03 07:30:00,40.08
2024-02-03 07:45:00,43.035000000000004
2024-02-03 08:00:00,45.99
2024-02-03 08:15:00,45.985
2024-02-03 08:30:00,45.980000000000004
2024-02-03 08:45:00,45.975
2024-02-03 09:00:00,45.97
2024-02-03 09:15:00,43.3825
2024-02-03 09:30:00,40.795
2024-02-03 09:45:00,38.207499999999996
2024-02-03 10:00:00,35.62
2024-02-03 10:15:00,34.32
2024-02-03 10:30:00,33.019999999999996
2024-02-03 10:45:00,31.72
2024-02-03 11:00:00,30.42
2024-02-03 11:15:00,30.46
2024-02-03 11:30:00,30.5
2024-02-03 11:45:00,30.54
2024-02-03 12:00:00,30.58
2024-02-03 12:15:00,30.59
2024-02-03 12:30:00,30.6
2024-02-03 12:45:00,30.61
2024-02-03 13:00:00,30.62
2024-02-03 13:15:00,33.15
2024-02-03 13:30:00,35.68
2024-02-03 13:45:00,38.21
2024-02-03 14:00:00,40.74
2024-02-03 14:15:00,41.480000000000004
2024-02-03 14:30:00,42.22
2024-02-03 14:45:00,42.96
2024-02-03 15:00:00,43.7
2024-02-03 15:15:00,45.115
2024-02-03 15:30:00,46.53
2024-02-03 15:45:00,47.945
2024-02-03 16:00:00,49.36
2024-02-03 16:15:00,51.4775
2024-02-03 16:30:00,53.595
2024-02-03 16:45:00,55.7125
2024-02-03 17:00:00,57.83
2024-02-03 17:15:00,60.515
2024-02-03 17:30:00,63.199999999999996
2024-02-03 17:45:00,65.88499999999999
2024-02-03 18:00:00,68.57
2024-02-03 18:15:00,67.9225
2024-02-03 18:30:00,67.275
2024-02-03 18:45:00,66.6275
2024-02-03 19:00:00,65.98
2024-02-03 19:15:00,63.0775
2024-02-03 19:30:00,60.175
2024-02-03 19:45:00,57.2725
2024-02-03 20:00:00,54.37
2024-02-03 20:15:00,53.58
2024-02-03 20:30:00,52.79
2024-02-03 20:45:00,52.0
2024-02-03 21:00:00,51.21
2024-02-03 21:15:00,51.11
2024-02-03 21:30:00,51.010000000000005
2024-02-03 21:45:00,50.910000000000004
2024-02-03 22:00:00,50.81
2024-02-03 22:15:00,47.785000000000004
2024-02-03 22:30:00,44.760000000000005
2024-02-03 22:45:00,41.735
2024-02-03 23:00:00,38.71
2024-02-03 23:15:00,37.8575
2024-02-03 23:30:00,37.004999999999995
2024-02-03 23:45:00,36.152499999999996
