,Price
2023-02-05 00:00:00,135.51
2023-02-05 00:15:00,135.875
2023-02-05 00:30:00,136.24
2023-02-05 00:45:00,136.605
2023-02-05 01:00:00,136.97
2023-02-05 01:15:00,134.985
2023-02-05 01:30:00,133.0
2023-02-05 01:45:00,131.015
2023-02-05 02:00:00,129.03
2023-02-05 02:15:00,129.4425
2023-02-05 02:30:00,129.85500000000002
2023-02-05 02:45:00,130.2675
2023-02-05 03:00:00,130.68
2023-02-05 03:15:00,127.06
2023-02-05 03:30:00,123.44
2023-02-05 03:45:00,119.82000000000001
2023-02-05 04:00:00,116.2
2023-02-05 04:15:00,115.4675
2023-02-05 04:30:00,114.735
2023-02-05 04:45:00,114.0025
2023-02-05 05:00:00,113.27
2023-02-05 05:15:00,113.505
2023-02-05 05:30:00,113.74
2023-02-05 05:45:00,113.975
2023-02-05 06:00:00,114.21
2023-02-05 06:15:00,114.55749999999999
2023-02-05 06:30:00,114.905
2023-02-05 06:45:00,115.2525
2023-02-05 07:00:00,115.6
2023-02-05 07:15:00,116.82
2023-02-05 07:30:00,118.03999999999999
2023-02-05 07:45:00,119.26
2023-02-05 08:00:00,120.48
2023-02-05 08:15:00,119.78
2023-02-05 08:30:00,119.08000000000001
2023-02-05 08:45:00,118.38000000000001
2023-02-05 09:00:00,117.68
2023-02-05 09:15:00,117.58500000000001
2023-02-05 09:30:00,117.49000000000001
2023-02-05 09:45:00,117.395
2023-02-05 10:00:00,117.3
2023-02-05 10:15:00,118.4975
2023-02-05 10:30:00,119.695
2023-02-05 10:45:00,120.8925
2023-02-05 11:00:00,122.09
2023-02-05 11:15:00,120.59
2023-02-05 11:30:00,119.09
2023-02-05 11:45:00,117.59
2023-02-05 12:00:00,116.09
2023-02-05 12:15:00,113.82000000000001
2023-02-05 12:30:00,111.55000000000001
2023-02-05 12:45:00,109.28
2023-02-05 13:00:00,107.01
2023-02-05 13:15:00,107.69500000000001
2023-02-05 13:30:00,108.38
2023-02-05 13:45:00,109.065
2023-02-05 14:00:00,109.75
2023-02-05 14:15:00,111.3925
2023-02-05 14:30:00,113.035
2023-02-05 14:45:00,114.6775
2023-02-05 15:00:00,116.32
2023-02-05 15:15:00,118.53
2023-02-05 15:30:00,120.74
2023-02-05 15:45:00,122.94999999999999
2023-02-05 16:00:00,125.16
2023-02-05 16:15:00,130.7625
2023-02-05 16:30:00,136.365
2023-02-05 16:45:00,141.9675
2023-02-05 17:00:00,147.57
2023-02-05 17:15:00,153.5375
2023-02-05 17:30:00,159.505
2023-02-05 17:45:00,165.4725
2023-02-05 18:00:00,171.44
2023-02-05 18:15:00,171.31
2023-02-05 18:30:00,171.18
2023-02-05 18:45:00,171.04999999999998
2023-02-05 19:00:00,170.92
2023-02-05 19:15:00,169.665
2023-02-05 19:30:00,168.41
2023-02-05 19:45:00,167.155
2023-02-05 20:00:00,165.9
2023-02-05 20:15:00,162.8425
2023-02-05 20:30:00,159.785
2023-02-05 20:45:00,156.7275
2023-02-05 21:00:00,153.67
2023-02-05 21:15:00,154.195
2023-02-05 21:30:00,154.72
2023-02-05 21:45:00,155.245
2023-02-05 22:00:00,155.77
2023-02-05 22:15:00,152.8725
2023-02-05 22:30:00,149.97500000000002
2023-02-05 22:45:00,147.07750000000001
2023-02-05 23:00:00,144.18
2023-02-05 23:15:00,144.385
2023-02-05 23:30:00,144.59
2023-02-05 23:45:00,144.79500000000002
