,Price
2023-02-04 00:00:00,99.36
2023-02-04 00:15:00,101.0825
2023-02-04 00:30:00,102.805
2023-02-04 00:45:00,104.5275
2023-02-04 01:00:00,106.25
2023-02-04 01:15:00,107.975
2023-02-04 01:30:00,109.7
2023-02-04 01:45:00,111.42500000000001
2023-02-04 02:00:00,113.15
2023-02-04 02:15:00,115.305
2023-02-04 02:30:00,117.46000000000001
2023-02-04 02:45:00,119.615
2023-02-04 03:00:00,121.77
2023-02-04 03:15:00,122.6725
2023-02-04 03:30:00,123.57499999999999
2023-02-04 03:45:00,124.47749999999999
2023-02-04 04:00:00,125.38
2023-02-04 04:15:00,125.895
2023-02-04 04:30:00,126.41
2023-02-04 04:45:00,126.925
2023-02-04 05:00:00,127.44
2023-02-04 05:15:00,129.915
2023-02-04 05:30:00,132.39
2023-02-04 05:45:00,134.865
2023-02-04 06:00:00,137.34
2023-02-04 06:15:00,142.0825
2023-02-04 06:30:00,146.825
2023-02-04 06:45:00,151.5675
2023-02-04 07:00:00,156.31
2023-02-04 07:15:00,158.28
2023-02-04 07:30:00,160.25
2023-02-04 07:45:00,162.22
2023-02-04 08:00:00,164.19
2023-02-04 08:15:00,165.6
2023-02-04 08:30:00,167.01
2023-02-04 08:45:00,168.42000000000002
2023-02-04 09:00:00,169.83
2023-02-04 09:15:00,168.4
2023-02-04 09:30:00,166.97000000000003
2023-02-04 09:45:00,165.54000000000002
2023-02-04 10:00:00,164.11
2023-02-04 10:15:00,162.18
2023-02-04 10:30:00,160.25
2023-02-04 10:45:00,158.32
2023-02-04 11:00:00,156.39
2023-02-04 11:15:00,154.5025
2023-02-04 11:30:00,152.615
2023-02-04 11:45:00,150.7275
2023-02-04 12:00:00,148.84
2023-02-04 12:15:00,144.9725
2023-02-04 12:30:00,141.10500000000002
2023-02-04 12:45:00,137.2375
2023-02-04 13:00:00,133.37
2023-02-04 13:15:00,133.55
2023-02-04 13:30:00,133.73000000000002
2023-02-04 13:45:00,133.91
2023-02-04 14:00:00,134.09
2023-02-04 14:15:00,135.97
2023-02-04 14:30:00,137.85000000000002
2023-02-04 14:45:00,139.73000000000002
2023-02-04 15:00:00,141.61
2023-02-04 15:15:00,145.0475
2023-02-04 15:30:00,148.485
2023-02-04 15:45:00,151.9225
2023-02-04 16:00:00,155.36
2023-02-04 16:15:00,159.0925
2023-02-04 16:30:00,162.825
2023-02-04 16:45:00,166.5575
2023-02-04 17:00:00,170.29
2023-02-04 17:15:00,173.7575
2023-02-04 17:30:00,177.225
2023-02-04 17:45:00,180.6925
2023-02-04 18:00:00,184.16
2023-02-04 18:15:00,183.11
2023-02-04 18:30:00,182.06
2023-02-04 18:45:00,181.01
2023-02-04 19:00:00,179.96
2023-02-04 19:15:00,176.9425
2023-02-04 19:30:00,173.925
2023-02-04 19:45:00,170.9075
2023-02-04 20:00:00,167.89
2023-02-04 20:15:00,165.45
2023-02-04 20:30:00,163.01
2023-02-04 20:45:00,160.57
2023-02-04 21:00:00,158.13
2023-02-04 21:15:00,156.6925
2023-02-04 21:30:00,155.255
2023-02-04 21:45:00,153.8175
2023-02-04 22:00:00,152.38
2023-02-04 22:15:00,148.4525
2023-02-04 22:30:00,144.52499999999998
2023-02-04 22:45:00,140.5975
2023-02-04 23:00:00,136.67
2023-02-04 23:15:00,136.38
2023-02-04 23:30:00,136.08999999999997
2023-02-04 23:45:00,135.79999999999998
